cargo_cru,cargo_canonico,familia,hierarquia,escolaridade_predominante,escolaridade_distribuicao,administrativo,registros,n_secretarias
AUTONOMOS - PROF. EVENTUAL,AUTONOMOS - PROF. EVENTUAL,Temporário,Temporário,Superior completo,"Superior completo: 81%, Superior incompleto: 10%, Pos-graduacao: 6%",sim,2271,1
PEB I,PEB I,Docência,Operacional,Superior completo / Pos-graduacao,"Superior completo: 51%, Pos-graduacao: 48%, Mestrado: 1%",nao,2103,1
AUX. DE EDUCACAO,AUX. DE EDUCACAO,Apoio,Operacional,Medio completo / Superior completo,"Medio completo: 60%, Superior completo: 36%, Superior incompleto: 3%",nao,1705,1
TECNICO DE ENFERMAGEM,TECNICO DE ENFERMAGEM,Saúde,Técnico,Medio completo,"Medio completo: 76%, Superior completo: 21%, Superior incompleto: 2%",nao,659,2
PEB I CLT,PEB I CLT,Docência,Operacional,Superior completo,"Superior completo: 96%, Pos-graduacao: 3%, Medio completo: 1%",nao,547,1
TEC.DE CONTROLE ADMINISTRATIVO,TEC.DE CONTROLE ADMINISTRATIVO,Administrativo,Técnico,Medio completo,"Medio completo: 77%, Superior completo: 20%, Superior incompleto: 2%",nao,507,24
ESTAGIARIO NIVEL SUPERIOR,ESTAGIARIO NIVEL SUPERIOR,Temporário,Temporário,Superior incompleto,"Superior incompleto: 97%, Medio completo: 3%, Superior completo: 0%",sim,493,19
AUX. DE ADMINISTRACAO,AUX. DE ADMINISTRACAO,Administrativo,Operacional,Superior completo / Medio completo,"Superior completo: 56%, Medio completo: 32%, Fundamental completo: 5%",nao,445,22
GCM-2A CLASSE,GCM-2A CLASSE,Segurança,Operacional,Medio completo,"Medio completo: 91%, Superior completo: 6%, Fundamental completo: 1%",nao,341,2
MEDICO 75H,MEDICO 75H,Saúde,Especialista,Superior completo / Pos-graduacao,"Superior completo: 61%, Pos-graduacao: 31%, Mestrado: 5%",nao,286,2
ENFERMEIRO,ENFERMEIRO,Saúde,Especialista,Superior completo / Pos-graduacao,"Superior completo: 60%, Pos-graduacao: 34%, Mestrado: 4%",nao,268,2
CHEFE DE SECAO,CHEFE DE SECAO,Liderança,Liderança,Superior completo,"Superior completo: 89%, Medio completo: 7%, Pos-graduacao: 3%",sim,258,27
INSPETOR DE ALUNOS,INSPETOR DE ALUNOS,Apoio,Operacional,Medio completo / Fundamental completo,"Medio completo: 56%, Fundamental completo: 25%, Superior completo: 13%",nao,243,1
SECRETARIO DE ESCOLA,SECRETARIO DE ESCOLA,Liderança,Liderança,Medio completo,"Medio completo: 79%, Superior completo: 18%, Superior incompleto: 2%",nao,149,1
AGENTE COMUNITARIO DE SAUDE,AGENTE COMUNITARIO DE SAUDE,Saúde,Operacional,Medio completo,"Medio completo: 76%, Fundamental completo: 13%, Superior completo: 7%",nao,147,1
MOTORISTA,MOTORISTA,Apoio,Operacional,Medio completo,"Medio completo: 78%, Superior completo: 10%, Fundamental incompleto: 4%",nao,143,11
DIRETOR DE ESCOLA,DIRETOR DE ESCOLA,Liderança,Liderança,Pos-graduacao / Superior completo,"Pos-graduacao: 46%, Superior completo: 43%, Mestrado: 10%",nao,140,1
MEDICO I 100H,MEDICO I 100H,Saúde,Especialista,Superior completo,"Superior completo: 97%, Pos-graduacao: 2%, Medio completo: 1%",nao,123,2
ASSESSOR DE GABINETE,ASSESSOR DE GABINETE,Liderança,Liderança,Superior completo,"Superior completo: 97%, Pos-graduacao: 3%",sim,120,24
