ano;mes;regime_grupo;regime_subgrupo;folha_total;num_registros;num_matriculas;percentual
2022;1;Efetivos e empregados publicos (carreira);efetivos;60393496.14;12945;8427;85.94
2022;1;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;4915889.02;578;488;7.0
2022;1;Temporarios, estagiarios e eventuais;flexiveis;2822171.55;2331;2013;4.02
2022;1;Inativos e pensionistas;inativos;1094560.85;287;287;1.56
2022;1;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;1048574.7799999999;87;75;1.49
2022;2;Efetivos e empregados publicos (carreira);efetivos;49583618.86;8703;8126;83.51
2022;2;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;5873807.24;693;558;9.89
2022;2;Temporarios, estagiarios e eventuais;flexiveis;1639955.37;706;671;2.76
2022;2;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;1206565.65;104;88;2.03
2022;2;Inativos e pensionistas;inativos;1073968.04;286;286;1.81
2022;3;Efetivos e empregados publicos (carreira);efetivos;57279522.14;8865;8128;83.18
2022;3;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;6093179.29;663;570;8.85
2022;3;Temporarios, estagiarios e eventuais;flexiveis;3234979.61;2331;2266;4.7
2022;3;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;1191034.0799999998;95;90;1.73
2022;3;Inativos e pensionistas;inativos;1066607.72;283;283;1.55
2022;4;Efetivos e empregados publicos (carreira);efetivos;59368991.9;8774;8115;81.93
2022;4;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;6230179.13;650;567;8.6
2022;4;Temporarios, estagiarios e eventuais;flexiveis;4361280.49;2587;2528;6.02
2022;4;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;1334714.75;98;91;1.84
2022;4;Inativos e pensionistas;inativos;1164963.75;278;278;1.61
2022;5;Efetivos e empregados publicos (carreira);efetivos;61802124.97;8786;8282;82.19
2022;5;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;6708090.3;665;564;8.92
2022;5;Temporarios, estagiarios e eventuais;flexiveis;4244662.25;2660;2545;5.64
2022;5;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;1281422.71;92;89;1.7
2022;5;Inativos e pensionistas;inativos;1161974.75;287;287;1.55
2022;6;Efetivos e empregados publicos (carreira);efetivos;61873303.02;9023;8427;82.65
2022;6;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;6390688.81;619;553;8.54
2022;6;Temporarios, estagiarios e eventuais;flexiveis;4230676.56;2702;2569;5.65
2022;6;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;1211743.3800000001;94;89;1.62
2022;6;Inativos e pensionistas;inativos;1152925.4;277;277;1.54
2022;7;Efetivos e empregados publicos (carreira);efetivos;63064469.43;9310;8458;83.04
2022;7;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;6683616.93;705;569;8.8
2022;7;Temporarios, estagiarios e eventuais;flexiveis;3656619.0;2432;2401;4.81
2022;7;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;1379701.47;109;89;1.82
2022;7;Inativos e pensionistas;inativos;1161672.62;276;276;1.53
2022;8;Efetivos e empregados publicos (carreira);efetivos;61096962.61;8858;8414;83.56
2022;8;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;6299861.26;651;567;8.62
2022;8;Temporarios, estagiarios e eventuais;flexiveis;3348849.1999999997;2543;2493;4.58
2022;8;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;1284865.08;95;89;1.76
2022;8;Inativos e pensionistas;inativos;1091282.17;273;273;1.49
2022;9;Efetivos e empregados publicos (carreira);efetivos;62393869.1;9453;8394;82.24
2022;9;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;6749389.23;696;574;8.9
