ano;mes;secretaria;regime_subgrupo;folha_total;num_registros;num_matriculas;percentual_na_secretaria
2022;1;Inativos e Pensionistas (Encargos);inativos;1094560.85;287;287;100.0
2022;1;Secretaria da Cidadania;efetivos;612654.05;148;133;54.46
2022;1;Secretaria da Cidadania;funcao_confianca;311077.61;47;40;27.65
2022;1;Secretaria da Cidadania;flexiveis;150461.58;38;32;13.37
2022;1;Secretaria da Cidadania;comissionados;50833.2;4;4;4.52
2022;1;Secretaria da Educação;efetivos;32297821.57;8749;4714;94.3
2022;1;Secretaria da Educação;flexiveis;1555420.26;2027;1719;4.54
2022;1;Secretaria da Educação;funcao_confianca;362620.4;47;37;1.06
2022;1;Secretaria da Educação;comissionados;34562.2;2;2;0.1
2022;1;Secretaria da Fazenda;efetivos;1079379.27;168;149;77.84
2022;1;Secretaria da Fazenda;funcao_confianca;293882.66;34;29;21.19
2022;1;Secretaria da Fazenda;flexiveis;13407.599999999999;14;14;0.97
2022;1;Secretaria da Habitação e Regularização Fundiária;efetivos;134151.91;20;16;62.42
2022;1;Secretaria da Habitação e Regularização Fundiária;funcao_confianca;60415.9;9;8;28.11
2022;1;Secretaria da Habitação e Regularização Fundiária;comissionados;14681.5;1;1;6.83
2022;1;Secretaria da Habitação e Regularização Fundiária;flexiveis;5664.0;6;6;2.64
2022;1;Secretaria da Saúde;efetivos;17231722.2;2459;2194;86.09
2022;1;Secretaria da Saúde;funcao_confianca;1725116.24;165;143;8.62
2022;1;Secretaria da Saúde;flexiveis;977488.47;117;114;4.88
2022;1;Secretaria da Saúde;comissionados;80466.0;4;4;0.4
2022;1;Secretaria de Administração;efetivos;881154.12;184;162;64.84
2022;1;Secretaria de Administração;funcao_confianca;400781.77;53;48;29.49
2022;1;Secretaria de Administração;comissionados;59588.69;7;5;4.39
2022;1;Secretaria de Administração;flexiveis;17356.8;17;17;1.28
2022;1;Secretaria de Assuntos Jurídicos e Patrimônio;efetivos;1380150.13;133;111;81.01
2022;1;Secretaria de Assuntos Jurídicos e Patrimônio;funcao_confianca;255345.45;29;24;14.99
2022;1;Secretaria de Assuntos Jurídicos e Patrimônio;comissionados;44261.18;3;3;2.6
2022;1;Secretaria de Assuntos Jurídicos e Patrimônio;flexiveis;23995.6;26;26;1.41
2022;1;Secretaria de Comunicação;funcao_confianca;91528.58;13;9;49.97
2022;1;Secretaria de Comunicação;comissionados;80991.03;10;6;44.22
2022;1;Secretaria de Comunicação;efetivos;8476.029999999999;3;3;4.63
2022;1;Secretaria de Comunicação;flexiveis;2169.6;3;3;1.18
2022;1;Secretaria de Cultura;efetivos;263077.59;49;46;69.34
2022;1;Secretaria de Cultura;comissionados;50833.2;4;4;13.4
2022;1;Secretaria de Cultura;funcao_confianca;47502.92;6;6;12.52
2022;1;Secretaria de Cultura;flexiveis;17983.57;19;19;4.74
2022;1;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;efetivos;229082.38;48;46;53.39
2022;1;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;funcao_confianca;113588.01000000001;17;13;26.47
2022;1;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;comissionados;81537.76;6;5;19.0
2022;1;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;flexiveis;4859.12;5;5;1.13
2022;1;Secretaria de Esportes e Lazer;efetivos;407796.67;64;58;79.82
2022;1;Secretaria de Esportes e Lazer;funcao_confianca;69179.64;8;7;13.54
2022;1;Secretaria de Esportes e Lazer;comissionados;30647.13;3;2;6.0
2022;1;Secretaria de Esportes e Lazer;flexiveis;3254.3999999999996;3;3;0.64
2022;1;Secretaria de Gabinete Central;efetivos;234031.78;38;32;56.84
2022;1;Secretaria de Gabinete Central;funcao_confianca;108050.27;11;10;26.24
2022;1;Secretaria de Gabinete Central;comissionados;66404.78;5;5;16.13
2022;1;Secretaria de Gabinete Central;flexiveis;3254.3999999999996;3;3;0.79
2022;1;Secretaria de Governo;comissionados;213743.3;19;16;37.57
2022;1;Secretaria de Governo;funcao_confianca;191223.30000000002;30;22;33.61
2022;1;Secretaria de Governo;efetivos;155408.84;13;12;27.31
2022;1;Secretaria de Governo;flexiveis;8616.8;10;10;1.51
2022;1;Secretaria de Mobilidade;efetivos;76648.34;7;7;53.87
2022;1;Secretaria de Mobilidade;funcao_confianca;63057.96000000001;8;5;44.32
2022;1;Secretaria de Mobilidade;comissionados;2583.42;1;1;1.82
2022;1;Secretaria de Recursos Humanos;efetivos;472628.76;88;72;73.46
