ano;mes;regime;folha_total;num_registros;num_matriculas;percentual
2022;1;PROF/HOR/ESTAT - LEI 8336/2007;16254126.06;3671;1850;23.13
2022;1;ESTATUTARIOS MEN/ LEI 8336/07;14666853.32;5246;3454;20.87
2022;1;ESTATUTARIO                  E;7775759.73;1232;976;11.06
2022;1;PROF/HORISTAS/ESTATUTARIOS   E;6097989.91;883;453;8.68
2022;1;ESTAT. HORISTAS/NOVOS 8336/07;5563234.93;873;767;7.92
2022;1;ESTATUTARIO/HORISTAS         E;5493665.83;578;514;7.82
2022;1;COMIS.ESTAT/MENSAL NOVOS (INC);3534696.24;469;394;5.03
2022;1;MED.PLANT.ESTAT -LEI 8336/2007;2090448.6;131;111;2.97
2022;1;PROF/EVENT/SUBST/AUTONOMOS   A;1393613.43;1443;1424;1.98
2022;1;MEDICOS PLANTONISTAS/ESTATUT.;1370252.89;60;52;1.95
2022;1;C.L.T./TEMP/HORISTA;962836.35;104;101;1.37
2022;1;COMIS ESTAT/MENSAL(INCORPORAN);704294.55;68;60;1.0
2022;1;COMISSAO/EXTERNO             S;652346.49;60;55;0.93
2022;1;ACUMULO DE GRATIF-ESTAT NOVOS;581869.03;51;42;0.83
2022;1;APOS/PENS-CLT/COMPL.INSS     P;581692.33;184;184;0.83
2022;1;APOS/INAT-CLT/COMPL.INSS     P;512868.52;103;103;0.73
2022;1;COMIS.ESTAT/HOR(INCORP)NOVOS;357497.07;15;11;0.51
2022;1;C.L.T.                     C;325169.48;199;191;0.46
2022;1;AGENTE POLITICO              S;319884.49;23;16;0.46
2022;1;ESTAGIARIOS;315260.19;746;456;0.45
2022;1;COMIS.ESTAT/HOR(INCORPORANDO);169480.34;5;5;0.24
2022;1;AGENTE HONORIFICO;150461.58;38;32;0.21
2022;1;ACUMULO DE GRATTIFICACAO-ESTAT;127986.69;9;9;0.18
2022;1;COMIS ESTAT MENS(CARGO ORIGEM);79699.38;6;6;0.11
2022;1;COMIS. ESTAT. INT. NOVO;42420.229999999996;11;10;0.06
2022;1;AGENTE POLITICO RPPS NOVOS;38171.9;2;2;0.05
2022;1;C.L.T./PROF/TMP/HORISTA;31347.37;10;7;0.04
2022;1;COMIS ESTAT MENS(ORIGEM) NOVOS;27801.21;4;2;0.04
2022;1;PREFEITO                     S;20554.1;1;1;0.03
2022;1;VICE PREFEITO                S;17617.8;1;1;0.03
2022;1;ACUM FG-ANT.COM.EST.HR.C.ORIG;14792.3;2;1;0.02
2022;2;ESTATUTARIOS MEN/ LEI 8336/07;11930474.3;3370;3192;20.09
2022;2;PROF/HOR/ESTAT - LEI 8336/2007;10726427.2;1842;1832;18.06
2022;2;ESTATUTARIO                  E;6881805.81;1018;934;11.59
2022;2;ESTAT. HORISTAS/NOVOS 8336/07;5576491.66;856;746;9.39
2022;2;ESTATUTARIO/HORISTAS         E;5378561.22;581;496;9.06
2022;2;COMIS.ESTAT/MENSAL NOVOS (INC);4186090.78;577;462;7.05
2022;2;PROF/HORISTAS/ESTATUTARIOS   E;4004814.63;447;446;6.74
2022;2;MED.PLANT.ESTAT -LEI 8336/2007;1872111.04;124;107;3.15
2022;2;MEDICOS PLANTONISTAS/ESTATUT.;1243039.58;61;51;2.09
2022;2;C.L.T./TEMP/HORISTA;1008028.36;98;96;1.7
2022;2;ACUMULO DE GRATIF-ESTAT NOVOS;978433.17;95;61;1.65
2022;2;COMISSAO/EXTERNO             S;828565.95;82;68;1.4
2022;2;COMIS ESTAT/MENSAL(INCORPORAN);817185.54;71;62;1.38
2022;2;APOS/PENS-CLT/COMPL.INSS     P;571319.19;183;183;0.96
2022;2;ACUMULO DE GRATTIFICACAO-ESTAT;559119.27;49;27;0.94
2022;2;APOS/INAT-CLT/COMPL.INSS     P;502648.85;103;103;0.85
2022;2;ESTAGIARIOS;465344.16000000003;525;507;0.78
