ano;mes;n;media;p10;p25;p50;p75;p90;p95;p99
2022;1;10897;3614.64;161.02;407.7;1661.14;5053.05;9471.33;13071.66;25362.31
2022;2;9560;5729.69;1666.56;2212.79;4883.85;7230.63;10835.73;13836.82;27161.46
2022;3;11216;5659.17;1032.84;2070.93;4134.93;7842.56;11220.12;14544.38;27200.83
2022;4;11452;5934.29;1084.8;2243.25;4310.41;7994.31;11858.3;15094.35;30676.98
2022;5;11600;6038.73;1084.8;2303.07;4476.35;8136.83;12051.65;15696.48;31435.04
2022;6;11790;5962.35;1084.8;2337.89;4356.69;8002.09;11864.95;14976.03;30427.33
2022;7;11611;5853.71;1084.8;2395.91;4534.8;7813.88;11493.14;14735.14;29401.54
2022;8;11663;5860.72;987.03;2415.26;4538.54;7922.94;11696.45;14788.25;28419.42
2022;9;11894;5967.87;1084.8;2415.27;4501.52;8056.03;11694.77;15058.78;29274.17
2022;10;11806;6181.94;1084.8;2692.83;4844.95;8212.8;11752.42;14822.79;28521.9
2022;11;11798;8404.85;1084.8;3489.19;6724.77;11907.26;16611.11;20646.59;35526.03
2022;12;11399;6174.17;1047.84;2770.16;4851.95;8555.58;11847.43;14729.96;28024.38
2023;1;8225;5606.47;660.0;1256.22;3512.7;7851.56;12490.2;17400.85;29901.26
2023;2;9959;7780.05;2161.03;3058.99;5703.68;10482.76;15162.63;19450.45;35606.87
2023;3;11549;7430.24;1084.8;3335.91;5739.94;10089.91;14454.65;18764.19;33787.14
2023;4;12269;6154.68;1084.8;2705.74;4475.82;8283.86;12125.69;15580.82;28855.09
2023;5;12296;6115.82;1084.8;2760.48;4508.62;8265.36;12111.6;15427.66;28912.35
2023;6;12553;6257.25;1084.8;2718.41;4443.3;8512.0;12537.64;15929.44;29207.35
2023;7;12421;6386.63;1084.8;3140.56;4913.92;8469.5;12335.99;15628.85;29877.82
2023;8;12300;6839.05;1084.8;3257.73;5504.59;9176.15;13309.08;16805.09;30876.31
2023;9;12573;6773.09;1084.8;3277.24;5409.54;9238.59;13246.15;16778.04;29700.18
2023;10;12507;6737.18;1084.8;3255.24;5226.39;9058.05;13112.42;16810.9;30576.48
2023;11;12544;8956.43;1084.8;4360.75;6948.34;12791.79;17858.28;21984.27;34273.33
2023;12;12160;7037.07;1023.2;3361.77;5287.48;9376.17;13638.33;17550.62;33254.91
2024;1;9986;5461.1;93.89;961.6;3501.99;7591.42;13150.62;17121.24;33427.92
2024;2;10739;7610.17;2267.38;3687.47;6337.0;9379.15;13691.17;17617.8;34041.73
2024;3;12223;8518.57;1084.8;4005.19;6446.49;11590.58;16518.72;21539.78;37763.45
2024;4;12787;7136.44;1084.8;3307.53;5406.01;9785.92;13999.77;17912.41;31399.53
2024;5;12962;7148.84;1084.8;2979.0;5312.94;9864.6;14037.22;17762.36;31849.16
2024;6;13017;7081.59;1084.8;2979.0;5162.48;9789.77;13858.95;17521.07;31614.27
2024;7;13009;6987.39;1084.8;3036.74;5041.13;9603.12;13746.48;17484.5;31214.64
2024;8;12652;7089.14;1084.8;3416.88;5358.87;9882.6;13998.39;17662.5;30644.31
2024;9;13103;7102.72;1084.8;3309.9;5206.59;9839.22;13960.03;17631.25;31243.47
2024;10;13180;7104.52;1084.8;3106.78;5012.78;9712.49;13945.04;17748.06;31611.07
2024;11;13053;9696.62;1084.8;4145.64;6859.12;13946.98;19654.96;24464.33;41215.65
2024;12;12825;7073.58;1084.8;3064.28;5151.4;9770.86;13832.65;17509.48;30603.42
2025;1;12317;5071.92;660.0;963.67;2320.34;6708.48;12681.28;16747.24;30982.04
2025;2;10814;8454.98;3289.7;4164.98;6983.72;10898.65;15510.34;19385.57;33018.01
2025;3;13258;8385.21;1084.8;3560.61;6061.41;11999.94;16742.01;21741.27;34823.77
2025;4;12924;7839.94;1084.8;3608.13;6022.89;10905.96;15311.84;19363.96;31835.84
2025;5;13157;7745.54;1214.5;3468.62;5784.5;10872.45;15185.25;19289.61;31743.73
2025;6;13295;8094.27;1359.4;3614.99;6061.5;11322.53;16080.62;20508.06;33005.49
2025;7;13302;7721.73;1239.7;3542.0;5579.64;10853.04;15307.83;19230.66;31459.44
2025;8;12944;8050.36;1084.8;3667.41;6168.28;11325.89;15946.31;20176.56;33088.19
2025;9;13436;7862.81;1313.13;3554.71;5715.43;11087.37;15572.03;19665.79;32555.44
2025;10;13597;7698.34;1558.48;3152.38;5559.57;10975.11;15328.31;19349.2;30841.33
2025;11;13487;10552.73;1558.48;4547.7;7615.7;15516.29;21666.0;27128.65;40063.32
2025;12;13283;7792.42;1416.8;3187.8;5631.93;11072.97;15474.79;19672.03;31773.54
2026;1;12843;5692.6;1052.82;1573.72;3419.5;7056.94;13791.91;17767.96;31173.48
2026;2;10785;8878.91;3322.68;4408.58;6950.12;11385.17;16113.79;20959.14;33923.29
2026;3;13439;9209.24;1084.8;3609.97;6998.9;13327.65;18802.38;23813.12;37153.43
2026;4;13490;8199.87;1477.2;3417.99;6022.72;11556.31;16136.04;20417.4;33106.91
2026;5;13473;8396.85;1491.2;3725.13;6226.74;11821.06;16524.49;20702.45;34354.46
2026;6;13789;8484.85;1794.35;3528.51;6203.99;12024.83;16836.68;21019.79;36105.43
2026;7;13813;8814.08;1796.93;3652.17;6553.81;12621.81;18060.05;22621.56;36803.86
2026;8;13829;8491.74;1118.4;3858.38;6343.41;12110.74;17031.7;21573.87;34321.4
