ano;mes;secretaria;efetivo
2022;1;Secretaria da Educação;6472
2022;1;Secretaria da Saúde;2455
2022;1;Secretaria de Segurança Urbana;388
2022;1;Inativos e Pensionistas (Encargos);287
2022;1;Secretaria de Administração;232
2022;1;Secretaria da Cidadania;209
2022;1;Secretaria da Fazenda;192
2022;1;Secretaria de Assuntos Jurídicos e Patrimônio;164
2022;1;Secretaria de Urbanismo e Licenciamento;164
2022;1;Secretaria de Serviços Públicos e Obras;144
2022;1;Secretaria de Recursos Humanos;95
2022;1;Secretaria do Meio Ambiente, Parques e Jardins;85
2022;1;Secretaria de Cultura;75
2022;1;Secretaria de Esportes e Lazer;70
2022;1;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;69
2022;1;Secretaria de Governo;60
2022;1;Secretaria de Gabinete Central;50
2022;1;Secretaria da Habitação e Regularização Fundiária;31
2022;1;Secretaria de Comunicação;21
2022;1;Secretaria de Relações Institucionais e Metropolitanas;14
2022;1;Secretaria de Mobilidade;13
2022;2;Secretaria da Educação;5020
2022;2;Secretaria da Saúde;2381
2022;2;Secretaria de Segurança Urbana;384
2022;2;Inativos e Pensionistas (Encargos);286
2022;2;Secretaria de Administração;223
2022;2;Secretaria da Cidadania;205
2022;2;Secretaria da Fazenda;189
2022;2;Secretaria de Urbanismo e Licenciamento;160
2022;2;Secretaria de Assuntos Jurídicos e Patrimônio;158
2022;2;Secretaria de Serviços Públicos e Obras;145
2022;2;Secretaria de Recursos Humanos;83
2022;2;Secretaria do Meio Ambiente, Parques e Jardins;80
2022;2;Secretaria de Cultura;73
2022;2;Secretaria de Esportes e Lazer;69
2022;2;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;68
2022;2;Secretaria de Governo;64
2022;2;Secretaria de Gabinete Central;56
2022;2;Secretaria da Habitação e Regularização Fundiária;31
2022;2;Secretaria de Comunicação;28
2022;2;Secretaria de Mobilidade;13
2022;2;Secretaria de Relações Institucionais e Metropolitanas;13
2022;3;Secretaria da Educação;6619
2022;3;Secretaria da Saúde;2385
2022;3;Secretaria de Segurança Urbana;381
2022;3;Inativos e Pensionistas (Encargos);283
2022;3;Secretaria de Administração;227
2022;3;Secretaria da Cidadania;207
2022;3;Secretaria da Fazenda;189
2022;3;Secretaria de Assuntos Jurídicos e Patrimônio;156
2022;3;Secretaria de Urbanismo e Licenciamento;156
2022;3;Secretaria de Serviços Públicos e Obras;147
2022;3;Secretaria do Meio Ambiente, Parques e Jardins;85
2022;3;Secretaria de Recursos Humanos;84
2022;3;Secretaria de Cultura;71
2022;3;Secretaria de Esportes e Lazer;71
2022;3;Secretaria de Governo;69
2022;3;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;65
2022;3;Secretaria de Gabinete Central;59
2022;3;Secretaria da Habitação e Regularização Fundiária;32
2022;3;Secretaria de Comunicação;26
2022;3;Secretaria de Mobilidade;13
2022;3;Secretaria de Relações Institucionais e Metropolitanas;12
2022;4;Secretaria da Educação;6880
2022;4;Secretaria da Saúde;2368
2022;4;Secretaria de Segurança Urbana;379
2022;4;Inativos e Pensionistas (Encargos);278
2022;4;Secretaria de Administração;230
2022;4;Secretaria da Cidadania;210
2022;4;Secretaria da Fazenda;190
2022;4;Secretaria de Urbanismo e Licenciamento;158
2022;4;Secretaria de Assuntos Jurídicos e Patrimônio;155
2022;4;Secretaria de Serviços Públicos e Obras;145
2022;4;Secretaria de Recursos Humanos;85
2022;4;Secretaria do Meio Ambiente, Parques e Jardins;85
2022;4;Secretaria de Esportes e Lazer;71
2022;4;Secretaria de Cultura;69
2022;4;Secretaria de Governo;69
2022;4;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;63
2022;4;Secretaria de Gabinete Central;61
2022;4;Secretaria da Habitação e Regularização Fundiária;33
2022;4;Secretaria de Comunicação;25
2022;4;Secretaria de Mobilidade;13
2022;4;Secretaria de Relações Institucionais e Metropolitanas;12
2022;5;Secretaria da Educação;7067
2022;5;Secretaria da Saúde;2354
2022;5;Secretaria de Segurança Urbana;376
2022;5;Inativos e Pensionistas (Encargos);287
2022;5;Secretaria de Administração;227
2022;5;Secretaria da Cidadania;209
2022;5;Secretaria da Fazenda;191
2022;5;Secretaria de Assuntos Jurídicos e Patrimônio;161
2022;5;Secretaria de Urbanismo e Licenciamento;159
2022;5;Secretaria de Serviços Públicos e Obras;144
2022;5;Secretaria do Meio Ambiente, Parques e Jardins;86
2022;5;Secretaria de Recursos Humanos;85
2022;5;Secretaria de Esportes e Lazer;72
2022;5;Secretaria de Cultura;71
2022;5;Secretaria de Governo;68
2022;5;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;64
2022;5;Secretaria de Gabinete Central;61
2022;5;Secretaria da Habitação e Regularização Fundiária;33
2022;5;Secretaria de Comunicação;27
2022;5;Secretaria de Mobilidade;13
2022;5;Secretaria de Relações Institucionais e Metropolitanas;12
2022;6;Secretaria da Educação;7191
2022;6;Secretaria da Saúde;2332
2022;6;Secretaria de Segurança Urbana;379
2022;6;Inativos e Pensionistas (Encargos);277
2022;6;Secretaria de Administração;243
2022;6;Secretaria da Cidadania;208
2022;6;Secretaria da Fazenda;199
2022;6;Secretaria de Urbanismo e Licenciamento;172
2022;6;Secretaria de Assuntos Jurídicos e Patrimônio;161
2022;6;Secretaria de Serviços Públicos e Obras;145
2022;6;Secretaria de Recursos Humanos;90
2022;6;Secretaria do Meio Ambiente, Parques e Jardins;84
2022;6;Secretaria de Governo;77
2022;6;Secretaria de Cultura;71
2022;6;Secretaria de Esportes e Lazer;71
2022;6;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;67
2022;6;Secretaria de Gabinete Central;63
2022;6;Secretaria da Habitação e Regularização Fundiária;34
2022;6;Secretaria de Comunicação;26
2022;6;Secretaria de Mobilidade;13
2022;6;Secretaria de Relações Institucionais e Metropolitanas;12
2022;7;Secretaria da Educação;7083
2022;7;Secretaria da Saúde;2319
2022;7;Secretaria de Segurança Urbana;379
2022;7;Inativos e Pensionistas (Encargos);276
2022;7;Secretaria de Administração;236
2022;7;Secretaria da Cidadania;206
2022;7;Secretaria da Fazenda;194
2022;7;Secretaria de Urbanismo e Licenciamento;172
2022;7;Secretaria de Assuntos Jurídicos e Patrimônio;148
2022;7;Secretaria de Serviços Públicos e Obras;146
2022;7;Secretaria de Governo;97
2022;7;Secretaria de Recursos Humanos;95
2022;7;Secretaria do Meio Ambiente, Parques e Jardins;86
2022;7;Secretaria de Esportes e Lazer;75
2022;7;Secretaria de Cultura;71
2022;7;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;67
2022;7;Secretaria de Gabinete Central;61
2022;7;Secretaria da Habitação e Regularização Fundiária;33
2022;7;Secretaria de Comunicação;25
2022;7;Secretaria de Mobilidade;13
2022;7;Secretaria de Relações Institucionais e Metropolitanas;11
2022;8;Secretaria da Educação;7098
2022;8;Secretaria da Saúde;2323
2022;8;Secretaria de Segurança Urbana;371
2022;8;Inativos e Pensionistas (Encargos);273
2022;8;Secretaria de Administração;259
2022;8;Secretaria da Cidadania;211
2022;8;Secretaria da Fazenda;189
2022;8;Secretaria de Urbanismo e Licenciamento;174
2022;8;Secretaria de Serviços Públicos e Obras;149
2022;8;Secretaria de Assuntos Jurídicos e Patrimônio;144
2022;8;Secretaria de Governo;100
2022;8;Secretaria de Recursos Humanos;97
2022;8;Secretaria do Meio Ambiente, Parques e Jardins;84
2022;8;Secretaria de Esportes e Lazer;75
2022;8;Secretaria de Cultura;71
2022;8;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;68
2022;8;Secretaria de Gabinete Central;62
2022;8;Secretaria da Habitação e Regularização Fundiária;38
