ano;mes;folha_total;folha_liquida;num_registros;num_matriculas;ticket_medio
2022;1;70274692.34;46264773.18;16228;11290;6224.51
2022;2;59377915.16;37994401.04;10492;9729;6103.19
2022;3;68865322.84;46572057.23;12237;11337;6074.39
2022;4;72460130.02;46841409.07;12387;11579;6257.89
2022;5;75198274.98;49309387.96;12490;11767;6390.61
2022;6;74859337.17;49004300.26;12715;11915;6282.78
2022;7;75946079.45;50422881.3;12832;11793;6439.93
2022;8;73121820.32;47634513.74;12420;11836;6177.92
2022;9;75871210.59;49848950.19;13247;12028;6307.88
2022;10;78465962.79;50698175.01;14124;11945;6568.94
2022;11;103275264.46;76327895.08;12523;11898;8680.05
2022;12;141153690.4;68649575.25;22028;11712;12052.06
2023;1;81143980.59;53655512.03;15477;11022;7362.0
2023;2;83152573.62;52842860.7;11158;10205;8148.22
2023;3;91939165.01;60869810.95;12767;11758;7819.29
2023;4;80393809.94;52004426.64;17732;12416;6475.02
2023;5;80588758.53;52252740.97;13257;12458;6468.84
2023;6;83834223.13;54598332.06;13368;12705;6598.52
2023;7;87293434.09;57405219.03;13679;12540;6961.2
2023;8;89727793.85;59700843.05;13391;12448;7208.21
2023;9;89621692.59;59321469.37;13503;12667;7075.21
2023;10;89485511.74;59514997.75;13297;12629;7085.72
2023;11;120240059.83;90035744.19;13613;12685;9478.92
2023;12;169348904.26;83114048.08;32742;12591;13450.0
2024;1;96436581.85;64379607.65;16598;11873;8122.34
2024;2;87603467.53;57867232.99;11719;10977;7980.64
2024;3;109326020.21;74621187.86;13082;12357;8847.29
2024;4;101013090.35;68866234.92;14050;13010;7764.27
2024;5;98870785.13;66265565.21;13914;13116;7538.18
2024;6;97820809.6;65706895.71;13878;13140;7444.51
2024;7;99864776.48;67550639.78;14801;13146;7596.59
2024;8;95317817.08;63470729.39;13722;12776;7460.69
2024;9;97837400.11;65645415.39;14038;13209;7406.87
2024;10;98516206.1;65803003.71;13993;13288;7413.92
2024;11;164842333.46;98718219.59;23707;13157;12528.87
2024;12;174687312.44;85068631.7;24044;13051;13384.98
2025;1;104916189.43;70457665.55;17395;12482;8405.4
2025;2;97394039.82;63839757.73;11839;11070;8798.02
2025;3;122414115.01;80340768.22;23921;13420;9121.77
2025;4;107027107.06;70517149.54;14036;13048;8202.57
2025;5;108027237.48;71358533.19;14379;13251;8152.38
2025;6;112514239.75;73576791.7;14272;13371;8414.8
2025;7;112522782.32;74670792.98;14822;13405;8394.09
2025;8;110463399.24;72605047.03;13881;13062;8456.85
2025;9;111734035.32;73720801.06;14691;13540;8252.14
2025;10;110279554.48;72167021.82;14463;13654;8076.72
2025;11;147355080.14;109047799.11;14488;13546;10878.12
2025;12;195618641.99;97058280.88;24626;13474;14518.23
2026;1;119601635.45;81010131.39;17943;12928;9251.36
2026;2;103607784.27;68164494.37;11850;10900;9505.3
2026;3;130341240.2;88526022.09;14490;13568;9606.52
2026;4;117938726.44;78406136.02;14674;13660;8633.87
2026;5;120069417.43;78977353.33;14684;13568;8849.46
2026;6;123384176.69;81026085.91;14761;13851;8907.96
2026;7;138886330.38;87440138.01;19364;13898;9993.26
2026;8;124784562.77;81674509.95;14685;13916;8966.98
