ano;mes;folha_nominal;indice_ipca;fator_correcao;folha_real
2022;1;70274692.34;100.54;0.994629;69897247.2050925
2022;2;59377915.16;101.5555;0.9846837;58468465.081156544
2022;3;68865322.84;103.2007;0.9689861;66729542.17696569
2022;4;72460130.02;104.2946;0.9588226;69476410.4974045
2022;5;75198274.98;104.7848;0.9543372;71764512.5669551
2022;6;74859337.17;105.4868;0.9479857;70965582.19943963
2022;7;75946079.45;104.7695;0.9544762;72488721.66302824
2022;8;73121820.32;104.3923;0.9579247;70045196.38372432
2022;9;75871210.59;104.0896;0.9607107;72890287.01262622
2022;10;78465962.79;104.7037;0.9550758;74940941.76723488
2022;11;103275264.46;105.133;0.951176;98232950.17950724
2022;12;141153690.4;105.7848;0.945315;133434703.67323253
2023;1;81143980.59;106.3455;0.9403313;76302221.86400248
2023;2;83152573.62;107.2388;0.9324983;77539631.78054544
2023;3;91939165.01;108.0002;0.9259242;85128699.3629846
2023;4;80393809.94;108.659;0.9203103;73987253.26620676
2023;5;80588758.53;108.9089;0.9181985;73996474.57469358
2023;6;83834223.13;108.8218;0.9189336;77038085.6650585
2023;7;87293434.09;108.9524;0.9178322;80120726.02401838
2023;8;89727793.85;109.203;0.915726;82166077.85719857
2023;9;89621692.59;109.4869;0.9133513;81856092.32987075
2023;10;89485511.74;109.7497;0.9111645;81536024.90930744
2023;11;120240059.83;110.057;0.9086204;109252571.2933073
2023;12;169348904.26;110.6733;0.9035605;153016974.1218598
2024;1;96436581.85;111.1381;0.8997814;86771840.69042978
2024;2;87603467.53;112.0606;0.8923747;78175115.4405544
2024;3;109326020.21;112.2399;0.8909492;97403924.94314604
2024;4;101013090.35;112.6664;0.8875764;89656831.179405
2024;5;98870785.13;113.1846;0.8835122;87353545.39854892
2024;6;97820809.6;113.4223;0.8816607;86244765.1957376
2024;7;99864776.48;113.8533;0.8783231;87713539.05366367
2024;8;95317817.08;113.8305;0.8784988;83736586.94103114
2024;9;97837400.11;114.3314;0.8746503;85573514.12128542
2024;10;98516206.1;114.9717;0.8697796;85687382.66035862
2024;11;164842333.46;115.42;0.8664006;142819496.67398602
2024;12;174687312.44;116.0202;0.8619186;150566247.8837641
2025;1;104916189.43;116.2059;0.8605418;90284761.95877725
2025;2;97394039.82;117.7282;0.8494144;82727902.59520073
2025;3;122414115.01;118.3874;0.8446842;103401268.34104253
2025;4;107027107.06;118.8965;0.8410676;90017032.65840665
2025;5;108027237.48;119.2056;0.8388865;90622591.21877363
2025;6;112514239.75;119.4917;0.836878;94160691.1923637
2025;7;112522782.32;119.8024;0.8347078;93923638.82027118
2025;8;110463399.24;119.6706;0.8356269;92306192.60834324
2025;9;111734035.32;120.245;0.8316351;92921945.01532793
2025;10;110279554.48;120.3533;0.8308873;91629880.81186505
2025;11;147355080.14;120.5699;0.8293944;122215476.21335438
2025;12;195618641.99;120.9678;0.8266664;161711355.98426554
2026;1;119601635.45;121.367;0.8239474;98545451.85373095
2026;2;103607784.27;122.2165;0.8182198;84773942.78845307
2026;3;130341240.2;123.2921;0.8110823;105717472.57844357
2026;4;117938726.44;124.1181;0.8056842;95021370.04220915
2026;5;120069417.43;124.838;0.8010382;96180189.04007141
2026;6;123384176.69;125.0377;0.7997586;98677553.71832132
2026;7;138886330.38;125.1253;0.7991991;110997835.62707597
2026;8;124784562.77;124.7249;0.8017648;100047868.27646786
