ano;mes;folha_total;folha_liquida;num_registros;num_matriculas;ticket_medio
2022;1;39388760.17;25884140.51;10965;10965;3592.23
2022;2;54775880.48;34514444.45;9663;9663;5668.62
2022;3;63473301.38;42578222.59;11279;11279;5627.56
2022;4;67959523.12;43166143.88;11503;11503;5907.98
2022;5;70049213.92;45268318.56;11668;11668;6003.53
2022;6;70296141.45;45474814.89;11858;11858;5928.16
2022;7;67967446.73;44345983.31;11702;11702;5808.19
2022;8;68353597.4;43921219.27;11769;11769;5807.94
2022;9;70981843.96;46120078.4;11979;11979;5925.52
2022;10;72983925.44;46151426.79;11856;11856;6155.86
2022;11;99160417.78;73272778.22;11844;11844;8372.21
2022;12;70379347.7;45787052.68;11447;11447;6148.28
2023;1;46113178.03;30798625.9;10955;10955;4209.33
2023;2;77481510.97;48515810.27;10130;10130;7648.72
2023;3;85811786.53;56153884.5;11661;11661;7358.87
2023;4;75511775.65;48059194.03;12356;12356;6111.34
2023;5;75200151.97;48040952.7;12384;12384;6072.36
2023;6;78547301.2;50509580.76;12628;12628;6220.09
2023;7;79328361.49;51490923.44;12490;12490;6351.35
2023;8;84120310.25;55160945.34;12378;12378;6795.95
2023;9;85158075.52;55877051.83;12635;12635;6739.86
2023;10;84261902.01;55391262.47;12580;12580;6698.08
2023;11;112349507.35;83742702.68;12592;12592;8922.29
2023;12;85570759.92;54715125.67;12210;12210;7008.25
2024;1;54534527.82;36431554.02;11834;11834;4608.29
2024;2;81725640.14;53301214.96;10837;10837;7541.35
2024;3;104122520.64;70653369.02;12311;12311;8457.68
2024;4;91253635.37;60649631.74;12849;12849;7102.0
2024;5;92663211.54;61222582.45;13046;13046;7102.81
2024;6;92181012.79;61259451.01;13078;13078;7048.56
2024;7;90898983.33;60693122.28;13071;13071;6954.25
2024;8;89691798.92;59049484.1;12710;12710;7056.79
2024;9;93066910.96;62008719.48;13162;13162;7070.88
2024;10;93637538.51;61993770.78;13230;13230;7077.67
2024;11;126570026.17;61545324.5;13102;13102;9660.36
2024;12;90718642.77;60103782.75;12881;12881;7042.83
2025;1;62470835.19;43347702.48;12432;12432;5025.0
2025;2;91432204.46;59111963.19;10886;10886;8399.06
2025;3;111171135.9;70649522.98;13342;13342;8332.42
2025;4;101323425.97;66032306.49;12981;12981;7805.52
2025;5;101908112.76;66526892.91;13199;13199;7720.9
2025;6;107613320.94;69858350.85;13335;13335;8069.99
2025;7;102714470.83;67279213.34;13359;13359;7688.78
2025;8;104203860.6;67543430.71;13013;13013;8007.67
2025;9;105644747.89;68831600.47;13497;13497;7827.28
2025;10;104674386.11;67799732.74;13616;13616;7687.6
2025;11;142324658.24;105085425.77;13511;13511;10533.98
2025;12;103506753.24;66727535.85;13346;13346;7755.64
2026;1;73110023.62;51418744.55;12868;12868;5681.54
2026;2;95759088.05;61926120.66;10817;10817;8852.65
2026;3;123763008.25;83468979.23;13483;13483;9179.19
2026;4;110616293.03;72467124.92;13521;13521;8181.07
2026;5;113130737.28;73566150.6;13497;13497;8381.92
2026;6;116997557.31;76124846.6;13812;13812;8470.72
2026;7;121748838.55;72937410.25;13835;13835;8800.06
2026;8;117432210.51;75865571.67;13845;13845;8481.92
