ano;mes;secretaria;folha_total;folha_liquida;num_registros;num_matriculas;ticket_medio
2022;1;Secretaria da Educação;34250424.43;22480711.76;10825;6472;5292.09
2022;1;Secretaria da Saúde;20014792.91;13525568.64;2745;2455;8152.67
2022;1;Secretaria de Segurança Urbana;3331323.11;2102881.55;415;388;8585.88
2022;1;Secretaria de Assuntos Jurídicos e Patrimônio;1703752.36;1120878.75;191;164;10388.73
2022;1;Secretaria da Fazenda;1386669.53;928038.25;216;192;7222.24
2022;1;Secretaria de Administração;1358881.3800000001;872791.35;261;232;5857.25
2022;1;Secretaria da Cidadania;1125026.44;750086.66;237;209;5382.9
2022;1;Inativos e Pensionistas (Encargos);1094560.85;561753.53;287;287;3813.8
2022;1;Secretaria de Urbanismo e Licenciamento;945817.51;602427.15;182;164;5767.18
2022;1;Secretaria de Serviços Públicos e Obras;917767.3099999999;564832.35;207;144;6373.38
2022;1;Secretaria de Recursos Humanos;643354.39;439155.9;114;95;6772.15
2022;1;Secretaria de Governo;568992.24;394468.48;72;60;9483.2
2022;1;Secretaria do Meio Ambiente, Parques e Jardins;530308.04;345651.23;90;85;6238.92
2022;1;Secretaria de Esportes e Lazer;510877.83999999997;330039.94;78;70;7298.25
2022;1;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;429067.27;274928.01;76;69;6218.37
2022;1;Secretaria de Gabinete Central;411741.23;274777.55;57;50;8234.82
2022;1;Secretaria de Cultura;379397.27999999997;247547.74;78;75;5058.63
2022;1;Secretaria da Habitação e Regularização Fundiária;214913.31;138164.39;36;31;6932.69
2022;1;Secretaria de Comunicação;183165.24;133123.95;29;21;8722.15
2022;1;Secretaria de Mobilidade;142289.72;84028.35;16;13;10945.36
2022;1;Secretaria de Relações Institucionais e Metropolitanas;131569.95;92917.65;16;14;9397.85
2022;2;Secretaria da Educação;23078390.7;14101231.22;5074;5020;4597.29
2022;2;Secretaria da Saúde;19928323.81;13475247.97;2719;2381;8369.73
2022;2;Secretaria de Segurança Urbana;3182045.86;1971565.46;435;384;8286.58
2022;2;Secretaria de Assuntos Jurídicos e Patrimônio;1659648.2;1136705.84;186;158;10504.1
2022;2;Secretaria de Administração;1399561.7;903606.71;264;223;6276.06
2022;2;Secretaria da Cidadania;1343940.97;902881.89;240;205;6555.81
2022;2;Secretaria da Fazenda;1299451.59;825218.7;234;189;6875.41
2022;2;Inativos e Pensionistas (Encargos);1073968.04;546692.1;286;286;3755.13
2022;2;Secretaria de Urbanismo e Licenciamento;1001704.45;634810.62;185;160;6260.65
