ano;mes;feminino;indefinido;masculino;total;pct_feminino
2022;1;8603.0;151.0;2536.0;13313.0;64.62
2022;2;7187.0;136.0;2406.0;11753.0;61.15
2022;3;8663.0;149.0;2525.0;13362.0;64.83
2022;4;8901.0;153.0;2525.0;13605.0;65.42
2022;5;9051.0;156.0;2560.0;13794.0;65.62
2022;6;9173.0;156.0;2586.0;13943.0;65.79
2022;7;9066.0;153.0;2574.0;13822.0;65.59
2022;8;9091.0;156.0;2589.0;13866.0;65.56
2022;9;9252.0;157.0;2619.0;14059.0;65.81
2022;10;9163.0;159.0;2623.0;13977.0;65.56
2022;11;9121.0;157.0;2620.0;13931.0;65.47
2022;12;8959.0;156.0;2597.0;13746.0;65.18
2023;1;8358.0;153.0;2511.0;13046.0;64.07
2023;2;7583.0;142.0;2480.0;12230.0;62.0
2023;3;8970.0;163.0;2625.0;13784.0;65.08
2023;4;9568.0;167.0;2681.0;14443.0;66.25
2023;5;9570.0;169.0;2719.0;14486.0;66.06
2023;6;9774.0;165.0;2766.0;14734.0;66.34
2023;7;9627.0;165.0;2748.0;14570.0;66.07
2023;8;9525.0;164.0;2759.0;14479.0;65.78
2023;9;9735.0;166.0;2766.0;14699.0;66.23
2023;10;9710.0;169.0;2750.0;14662.0;66.23
2023;11;9746.0;170.0;2769.0;14719.0;66.21
2023;12;9688.0;168.0;2735.0;14626.0;66.24
2024;1;9049.0;159.0;2665.0;13898.0;65.11
2024;2;8185.0;145.0;2647.0;13003.0;62.95
2024;3;9437.0;158.0;2762.0;14384.0;65.61
2024;4;9981.0;170.0;2859.0;15038.0;66.37
2024;5;10140.0;169.0;2807.0;15145.0;66.95
2024;6;10163.0;176.0;2801.0;15170.0;66.99
2024;7;10182.0;172.0;2792.0;15177.0;67.09
2024;8;9820.0;170.0;2786.0;14808.0;66.32
2024;9;10246.0;171.0;2792.0;15242.0;67.22
2024;10;10317.0;172.0;2799.0;15322.0;67.33
2024;11;10191.0;171.0;2795.0;15192.0;67.08
2024;12;10098.0;170.0;2783.0;15087.0;66.93
2025;1;9584.0;167.0;2731.0;14508.0;66.06
2025;2;8200.0;152.0;2718.0;13097.0;62.61
2025;3;10348.0;178.0;2894.0;15448.0;66.99
2025;4;10011.0;176.0;2861.0;15077.0;66.4
2025;5;10151.0;180.0;2920.0;15281.0;66.43
2025;6;10274.0;180.0;2917.0;15402.0;66.71
2025;7;10270.0;181.0;2954.0;15437.0;66.53
2025;8;9957.0;173.0;2932.0;15095.0;65.96
2025;9;10417.0;175.0;2948.0;15574.0;66.89
2025;10;10525.0;175.0;2954.0;15689.0;67.09
2025;11;10435.0;172.0;2939.0;15582.0;66.97
2025;12;10375.0;170.0;2929.0;15511.0;66.89
2026;1;9887.0;164.0;2877.0;14955.0;66.11
2026;2;7988.0;143.0;2769.0;12928.0;61.79
2026;3;10503.0;168.0;2897.0;15597.0;67.34
2026;4;10568.0;167.0;2925.0;15690.0;67.36
2026;5;10454.0;170.0;2944.0;15599.0;67.02
2026;6;10626.0;168.0;3057.0;15883.0;66.9
2026;7;10656.0;167.0;3075.0;15931.0;66.89
2026;8;10684.0;162.0;3070.0;15950.0;66.98
