faixa_salarial;genero_inferido;num_matriculas;folha_media
10k_20k;feminino;5931;13251.709814708442
10k_20k;masculino;2397;13827.668572382663
10k_20k;indefinido;128;13198.050421455939
2k_5k;feminino;13585;3435.18033911348
2k_5k;masculino;3596;3680.220117621528
2k_5k;indefinido;218;3533.4855260633194
5k_10k;feminino;9436;7332.033150634552
5k_10k;masculino;3437;7180.812597509936
5k_10k;indefinido;172;7283.97388579795
acima_20k;feminino;2713;28578.093696679698
acima_20k;masculino;1589;31073.62191259455
acima_20k;indefinido;68;32664.214361313865
ate_2k;feminino;18776;826.5935974101174
ate_2k;masculino;4580;805.8516127565829
ate_2k;indefinido;284;771.8574807321772
