cargo;folha_media_feminino;folha_media_indefinido;folha_media_masculino;num_matriculas_feminino;num_matriculas_indefinido;num_matriculas_masculino;gap_absoluto;gap_percentual
AUX. DE FISCALIZACAO;7542.0805;0.0;10249.057465753423;11.0;0.0;17.0;2706.98;26.41
MEDICO 75H;18119.003604100948;22169.60281690141;23956.789879943502;134.0;8.0;157.0;5837.79;24.37
FISCAL PUBLICO;6307.0065;0.0;8281.37654605263;10.0;0.0;37.0;1974.37;23.84
MEDICO I 100H;14156.648128544424;13953.957142857142;17617.148636363636;82.0;2.0;47.0;3460.5;19.64
SECRETARIO;21935.221296296295;0.0;26735.408784530387;11.0;0.0;39.0;4800.19;17.95
COORDENADOR ADMINISTRATIVO(FG);15167.881736111112;13178.92;18335.996153846154;22.0;1.0;12.0;3168.11;17.28
AGENTE DE VIG.SANITARIA I;6308.689358600584;6275.59;7615.3262162162155;38.0;1.0;39.0;1306.64;17.16
CIRURGIAO DENTISTA 75H;17151.391485148517;22017.783;20517.621688311687;41.0;1.0;40.0;3366.23;16.41
GCM-2A CLASSE;7007.386313253011;7047.2588235294115;8040.133134564644;68.0;2.0;294.0;1032.75;12.84
AUX. DE ADMINISTRACAO;5308.317331111784;6927.426097560975;6077.041524440762;360.0;6.0;138.0;768.72;12.65
ENFERMEIRO;14688.207325853202;12890.724210526316;16701.876630824372;248.0;2.0;30.0;2013.67;12.06
GESTOR PLANEJ E EXECUCAO(FG);20453.082738095236;13286.155999999999;23060.538803418804;15.0;1.0;16.0;2607.46;11.31
MEDICO II 150H;18780.619333333332;0.0;20121.165785714285;12.0;0.0;17.0;1340.55;6.66
TEC.DE CONTROLE ADMINISTRATIVO;4831.560414078675;6986.849638554217;5135.0566741447;335.0;9.0;225.0;303.5;5.91
ESTAGIARIO NIVEL TECNICO;968.1992452830189;0.0;1027.1768421052632;31.0;0.0;15.0;58.98;5.74
PEB I CLT;6787.5273858046385;6915.916086956522;7153.668181818182;547.0;6.0;19.0;366.14;5.12
ORIENT. PED.;11963.951141837646;10650.134;12574.916354166666;115.0;1.0;10.0;610.97;4.86
TECNICO DE ENFERMAGEM;6857.964430120729;7338.392111111111;7184.1725;526.0;19.0;136.0;326.21;4.54
AGENTE DE COMBATE AS ENDEMIAS;4687.639278688524;726.47;4886.26592;37.0;1.0;30.0;198.63;4.06
FISCAL DE SAUDE PUBLICA;6017.698299319728;0.0;6237.5937795275595;18.0;0.0;16.0;219.9;3.53
INSPETOR DE ALUNOS;3918.879136795904;3483.832580645161;4061.78329113924;159.0;4.0;90.0;142.9;3.52
AGENTE COMUNITARIO DE SAUDE;4464.017660472973;5082.601875;4623.552680412371;134.0;2.0;14.0;159.54;3.45
ASSESSOR DE GABINETE;14569.619578313253;15745.109999999999;15089.030069444445;89.0;1.0;107.0;519.41;3.44
CIRURGIAO DENTISTA I 150H;18239.0707518797;0.0;18864.478803418802;15.0;0.0;13.0;625.41;3.32
ESTAGIARIO NIVEL SUPERIOR;994.7710643274854;881.6733333333333;1028.1503179487179;687.0;10.0;193.0;33.38;3.25
CHEFE DE DIVISAO;14923.894728340676;20950.17947368421;15173.722057291669;92.0;2.0;53.0;249.83;1.65
GCM-CLASSE ESPECIAL;13734.849154929578;9287.174;13815.696283783784;12.0;1.0;51.0;80.85;0.59
CHEFE DE SECAO;11251.961037974685;8644.0375;11315.572870478412;198.0;1.0;111.0;63.61;0.56
ENG.CIVIL I;12041.976104651163;0.0;12043.087036144578;21.0;0.0;45.0;1.11;0.01
ASSISTENTE DE SECRETARIA E EXPEDIENTE (FG);10391.93738095238;0.0;10367.130740740742;60.0;0.0;23.0;-24.81;-0.24
PEBII ED.FISICA;10833.924256198346;12903.994482758622;10781.440520833334;50.0;3.0;39.0;-52.48;-0.49
ESTAGIARIO NIVEL MEDIO;1025.4301886792452;0.0;1009.0032183908046;44.0;0.0;19.0;-16.43;-1.63
AUX. DE EDUCACAO;4331.192177462527;4188.360909090909;4253.1317572156195;1592.0;23.0;131.0;-78.06;-1.84
AUX. DE ENFERMAGEM;8629.999289940828;9476.893;8473.303142857143;56.0;1.0;20.0;-156.7;-1.85
GCM-1A CLASSE;13180.200082644627;8416.965625;12589.308496376812;14.0;2.0;131.0;-590.89;-4.69
PEB I;11111.054011916087;10438.750461538462;10569.054334705075;2117.0;28.0;80.0;-542.0;-5.13
CHEFE DE GABINETE;18218.746666666666;15422.22875;17130.933191489363;14.0;2.0;27.0;-1087.81;-6.35
PROCURADOR;33909.79579617835;0.0;31814.10751824818;17.0;0.0;18.0;-2095.69;-6.59
DIRETOR DE ESCOLA;16178.457794830372;0.0;15080.745036496352;123.0;0.0;27.0;-1097.71;-7.28
SECRETARIO DE ESCOLA;5316.22656679151;8133.600833333333;4953.878691275168;84.0;2.0;67.0;-362.35;-7.31
AUTONOMOS - PROF. EVENTUAL;1765.226566598484;1824.7825641025643;1442.8190774907748;3329.0;32.0;196.0;-322.41;-22.35
SUPERV. ENS.;24115.68706896552;15740.473333333335;17572.85193548387;12.0;1.0;10.0;-6542.84;-37.23
