regime_subgrupo;genero_inferido;num_registros;num_matriculas;folha_total;folha_media;total_matriculas;pct_feminino
comissionados;masculino;5331;382;80295364.32000001;15061.970422059652;615.0;36.42
comissionados;feminino;3385;224;47133956.51;13924.359382570161;615.0;36.42
comissionados;indefinido;129;9;1849827.35;14339.746899224807;615.0;36.42
efetivos;feminino;471186;10039;3449561457.17;7321.018572644349;13594.0;73.85
efetivos;masculino;152560;3372;1402909898.55;9195.791154627686;13594.0;73.85
efetivos;indefinido;8888;183;68499951.93;7707.015293654366;13594.0;73.85
flexiveis;feminino;136764;10069;215219284.98;1573.6545068877774;11682.0;86.19
flexiveis;masculino;15772;1500;34830265.37;2208.3607259700734;11682.0;86.19
flexiveis;indefinido;1564;113;3474226.4;2221.372378516624;11682.0;86.19
funcao_confianca;feminino;25619;605;296972513.69;11591.885463523166;955.0;63.35
funcao_confianca;masculino;14037;338;178256947.87;12699.07728645722;955.0;63.35
funcao_confianca;indefinido;471;12;7887599.69;16746.496157112528;955.0;63.35
inativos;feminino;10686;205;45762427.09;4282.4655708403525;298.0;68.79
inativos;masculino;3923;89;22730513.22;5794.166000509814;298.0;68.79
inativos;indefinido;202;4;1272269.57;6298.364207920792;298.0;68.79
