secretaria;genero_inferido;num_registros;num_matriculas;folha_total;folha_media;total_matriculas;pct_feminino
Chefia do Poder Executivo;feminino;2200;169;8935258.59;4061.481177272727;196.0;86.22
Chefia do Poder Executivo;masculino;294;25;4328494.06;14722.768911564624;196.0;86.22
Chefia do Poder Executivo;indefinido;28;2;108315.53;3868.4117857142855;196.0;86.22
Inativos e Pensionistas (Encargos);feminino;8187;205;35952180.48;4391.3741883473795;297.0;69.02
Inativos e Pensionistas (Encargos);masculino;2952;88;17511963.66;5932.237012195122;297.0;69.02
Inativos e Pensionistas (Encargos);indefinido;149;4;974168.66;6538.044697986577;297.0;69.02
Secretaria da Cidadania;feminino;13635;335;96647619.89;7088.200945361203;483.0;69.36
Secretaria da Cidadania;masculino;4773;145;36641513.34;7676.830785669391;483.0;69.36
Secretaria da Cidadania;indefinido;141;3;979498.44;6946.79744680851;483.0;69.36
Secretaria da Educação;feminino;438434;15633;2402318822.22;5479.316891983742;17452.0;89.58
Secretaria da Educação;masculino;45379;1630;244044462.5;5377.916271843805;17452.0;89.58
Secretaria da Educação;indefinido;5905;189;32196499.22;5452.413077053345;17452.0;89.58
Secretaria da Fazenda;feminino;7158;181;50454419.81;7048.675581167924;304.0;59.54
Secretaria da Fazenda;masculino;5417;117;56012864.83;10340.200263983754;304.0;59.54
Secretaria da Fazenda;indefinido;257;6;3284838.64;12781.473307392997;304.0;59.54
Secretaria da Habitação e Regularização Fundiária;masculino;1077;47;10019730.4;9303.370844939647;93.0;49.46
Secretaria da Habitação e Regularização Fundiária;feminino;1556;46;11451574.71;7359.623849614396;93.0;49.46
Secretaria da Mulher;feminino;229;20;3614991.77;15785.990262008734;20.0;100.0
Secretaria da Saúde;feminino;124186;2636;1040285394.44;8376.833092619136;3963.0;66.52
Secretaria da Saúde;masculino;55083;1266;627433009.31;11390.68331989906;3963.0;66.52
Secretaria da Saúde;indefinido;3195;61;34434281.9;10777.553020344287;3963.0;66.52
Secretaria de Administração;masculino;8891;318;60411091.77;6794.634098526601;585.0;44.27
Secretaria de Administração;feminino;7011;259;49715129.91;7091.01838682071;585.0;44.27
Secretaria de Administração;indefinido;325;8;1663713.57;5119.118676923077;585.0;44.27
Secretaria de Assuntos Jurídicos e Patrimônio;feminino;5060;166;61397076.12;12133.809509881423;293.0;56.66
Secretaria de Assuntos Jurídicos e Patrimônio;masculino;3774;122;65043545.77;17234.643818229997;293.0;56.66
Secretaria de Assuntos Jurídicos e Patrimônio;indefinido;105;5;536935.8099999999;5113.6743809523805;293.0;56.66
Secretaria de Comunicação;feminino;1223;46;9917646.44;8109.277547015535;86.0;53.49
Secretaria de Comunicação;masculino;861;39;9804654.82;11387.520116144018;86.0;53.49
Secretaria de Comunicação;indefinido;2;1;42051.55;21025.775;86.0;53.49
Secretaria de Cultura;feminino;2154;106;11582162.47;5377.048500464253;205.0;51.71
Secretaria de Cultura;masculino;2405;96;15304511.49;6363.622241164241;205.0;51.71
Secretaria de Cultura;indefinido;72;3;973161.02;13516.125277777777;205.0;51.71
Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;masculino;1884;134;13972657.26;7416.48474522293;251.0;45.02
Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;feminino;2272;113;14385544.85;6331.665867077465;251.0;45.02
Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;indefinido;91;4;495568.27999999997;5445.805274725274;251.0;45.02
Secretaria de Empreendedorismo da Micro e Pequena Empresa;feminino;368;24;3104635.38;8436.509184782608;42.0;57.14
Secretaria de Empreendedorismo da Micro e Pequena Empresa;masculino;149;18;1774208.39;11907.438859060401;42.0;57.14
Secretaria de Esportes e Lazer;masculino;4287;139;39033530.09;9105.092160018661;206.0;31.07
Secretaria de Esportes e Lazer;feminino;1506;64;10566916.73;7016.544973439575;206.0;31.07
Secretaria de Esportes e Lazer;indefinido;80;3;582366.74;7279.58425;206.0;31.07
Secretaria de Gabinete Central;masculino;3151;173;34556041.3;10966.69035226912;329.0;46.5
Secretaria de Gabinete Central;feminino;3528;153;31137363.1;8825.783191609979;329.0;46.5
Secretaria de Gabinete Central;indefinido;33;3;579872.61;17571.897272727274;329.0;46.5
Secretaria de Governo;feminino;4489;303;46080409.61;10265.183695700602;506.0;59.88
Secretaria de Governo;masculino;3005;194;30383952.21;10111.132183028287;506.0;59.88
Secretaria de Governo;indefinido;53;9;315577.87;5954.299433962264;506.0;59.88
Secretaria de Inclusão e Transtorno do Espectro Autista;feminino;152;11;1767947.3699999999;11631.23269736842;19.0;57.89
Secretaria de Inclusão e Transtorno do Espectro Autista;masculino;98;8;1288718.49;13150.188673469387;19.0;57.89
Secretaria de Mobilidade;masculino;1512;92;15239854.17;10079.268630952381;138.0;32.61
Secretaria de Mobilidade;feminino;785;45;4167939.53;5309.4771082802545;138.0;32.61
Secretaria de Mobilidade;indefinido;24;1;26111.84;1087.9933333333333;138.0;32.61
Secretaria de Parcerias;feminino;659;43;5935214.67;9006.395553869499;79.0;54.43
Secretaria de Parcerias;masculino;532;36;5142849.14;9667.009661654134;79.0;54.43
Secretaria de Planejamento e Desenvolvimento Urbano;masculino;5839;187;52696432.6;9024.907107381401;375.0;49.33
Secretaria de Planejamento e Desenvolvimento Urbano;feminino;4488;185;26064347.83;5807.5641332442065;375.0;49.33
Secretaria de Planejamento e Desenvolvimento Urbano;indefinido;18;3;187461.08000000002;10414.504444444445;375.0;49.33
Secretaria de Recursos Humanos;feminino;5460;197;36740214.64;6728.977040293041;290.0;67.93
Secretaria de Recursos Humanos;masculino;2700;90;22127202.46;8195.260170370371;290.0;67.93
Secretaria de Recursos Humanos;indefinido;191;3;1441005.87;7544.533350785341;290.0;67.93
Secretaria de Relações Institucionais e Metropolitanas;masculino;431;31;5591529.0;12973.385150812064;44.0;27.27
Secretaria de Relações Institucionais e Metropolitanas;feminino;359;12;3685952.53;10267.277242339833;44.0;27.27
Secretaria de Relações Institucionais e Metropolitanas;indefinido;3;1;47372.72;15790.906666666668;44.0;27.27
Secretaria de Relações do Trabalho e Qualificação Profissional;masculino;745;58;6051379.54;8122.657100671141;113.0;46.9
Secretaria de Relações do Trabalho e Qualificação Profissional;feminino;968;53;5447735.81;5627.826249999999;113.0;46.9
Secretaria de Relações do Trabalho e Qualificação Profissional;indefinido;57;2;343729.83999999997;6030.348070175438;113.0;46.9
Secretaria de Segurança Urbana;masculino;23277;611;235267425.15;10107.2915388581;803.0;22.79
Secretaria de Segurança Urbana;feminino;4475;183;38111863.64;8516.617573184358;803.0;22.79
Secretaria de Segurança Urbana;indefinido;254;9;2151508.18;8470.504645669293;803.0;22.79
Secretaria de Serviços Públicos e Obras;masculino;7157;197;57548631.93;8040.88751292441;275.0;26.91
Secretaria de Serviços Públicos e Obras;feminino;2605;74;18143208.47;6964.763328214971;275.0;26.91
Secretaria de Serviços Públicos e Obras;indefinido;169;4;945727.92;5596.0231952662725;275.0;26.91
Secretaria de Turismo;feminino;141;15;1423906.53;10098.627872340427;30.0;50.0
Secretaria de Turismo;masculino;153;15;1682063.76;10993.880784313726;30.0;50.0
Secretaria de Urbanismo e Licenciamento;masculino;1442;130;10970178.09;7607.613099861303;228.0;42.54
Secretaria de Urbanismo e Licenciamento;feminino;1019;97;4640863.34;4554.331050049068;228.0;42.54
Secretaria de Urbanismo e Licenciamento;indefinido;2;1;9000.54;4500.27;228.0;42.54
Secretaria do Meio Ambiente, Parques e Jardins;feminino;3333;167;20973298.56;6292.6188298829875;334.0;50.0
Secretaria do Meio Ambiente, Parques e Jardins;masculino;4355;161;39140493.8;8987.484225028702;334.0;50.0
Secretaria do Meio Ambiente, Parques e Jardins;indefinido;100;6;665107.11;6651.0711;334.0;50.0
