ano;mes;n;gini
2022;1;10897;0.6326
2022;2;9560;0.4079
2022;3;11216;0.457
2022;4;11452;0.4535
2022;5;11600;0.4608
2022;6;11790;0.4563
2022;7;11611;0.4502
2022;8;11663;0.4586
2022;9;11894;0.4532
2022;10;11806;0.425
2022;11;11798;0.4455
2022;12;11399;0.4293
2023;1;8225;0.5267
2023;2;9959;0.4299
2023;3;11549;0.4403
2023;4;12269;0.4395
2023;5;12296;0.4442
2023;6;12553;0.446
2023;7;12421;0.4302
2023;8;12300;0.4347
2023;9;12573;0.4275
2023;10;12507;0.4325
2023;11;12544;0.429
2023;12;12160;0.4358
2024;1;9986;0.5857
2024;2;10739;0.3949
2024;3;12223;0.4385
2024;4;12787;0.4427
2024;5;12962;0.434
2024;6;13017;0.4372
2024;7;13009;0.4357
2024;8;12652;0.4375
2024;9;13103;0.4341
2024;10;13180;0.4395
2024;11;13053;0.4487
2024;12;12825;0.4306
2025;1;12317;0.5756
2025;2;10814;0.3774
2025;3;13258;0.4467
2025;4;12924;0.4304
2025;5;13157;0.4283
2025;6;13295;0.4303
2025;7;13302;0.428
2025;8;12944;0.4347
2025;9;13436;0.4283
2025;10;13597;0.4258
2025;11;13487;0.442
2025;12;13283;0.4307
2026;1;12843;0.5223
2026;2;10785;0.3752
2026;3;13439;0.4526
2026;4;13490;0.4302
2026;5;13473;0.4302
2026;6;13789;0.4319
2026;7;13813;0.438
2026;8;13829;0.4391
