local_cru,local_canonico,tipo,sigla_secretaria,secretaria,registros,ativo
Sedu - Prof Eventuais,Prof. Eventuais,Categoria,SEDUC,Secretaria da Educação,2271,sim
Sesu - Gcm,GCM — Guarda Civil Municipal,Setor,SESU,Secretaria de Segurança Urbana,518,sim
Estagios - Sedu - Formacao CID,Estágios — Formação Cidadã,Categoria,,,269,sim
Ses - Zoonoses,Zoonoses (CCZ),Setor,SES,Secretaria da Saúde,176,sim
Aposent-pens (aappms),Aposentados e Pensionistas (AAPMS),Categoria,,,154,sim
Secid - D. Prot Soc Basica,Divisão de Proteção Social Básica,Setor,SECID,Secretaria da Cidadania,100,sim
Ses - Policlinica-medicos,Policlínica — Médicos,Setor,SES,Secretaria da Saúde,83,sim
Sedu - Cei 89 (zilda P Aguil),CEI 89 — Zilda P. Aguil,Escola,SEDUC,Secretaria da Educação,78,sim
Ses - Samu-enfermagem,SAMU — Enfermagem,Setor,SES,Secretaria da Saúde,74,sim
Sedu - Cei 78 (ettore Marang),CEI 78 — Ettore Marang,Escola,SEDUC,Secretaria da Educação,68,sim
Secid - D. Prot Soc Especial,Divisão de Proteção Social Especial,Setor,SECID,Secretaria da Cidadania,64,sim
Sedu - em Ary de o Seabra,EM Ary de O Seabra,Escola,SEDUC,Secretaria da Educação,64,sim
Sedu - em Renice Seraphim,EM Renice Seraphim,Escola,SEDUC,Secretaria da Educação,64,sim
Sedu - Cei 90 (helio D C Jr),CEI 90 — Helio D. C. Jr.,Escola,SEDUC,Secretaria da Educação,62,sim
Ses - Transp Paciente-motoristas,Transporte de Pacientes — Motoristas,Setor,SES,Secretaria da Saúde,61,sim
Sedu - Cei 109 (benedicto Pagl,CEI 109 — Benedicto Pagl,Escola,SEDUC,Secretaria da Educação,59,sim
Sedu - em Tereza C Gianini,EM Tereza C. Gianini,Escola,SEDUC,Secretaria da Educação,59,sim
Sedu - em Ines R Cesarotti,EM Ines R. Cesarotti,Escola,SEDUC,Secretaria da Educação,58,sim
Ses - D. Avaliacao Controle,Divisão de Avaliação e Controle,Setor,SES,Secretaria da Saúde,57,sim
Sedu - em Achilles Almeida,EM Achilles Almeida,Escola,SEDUC,Secretaria da Educação,57,sim
Sedu - Cei 107 (arminda da Con,CEI 107 — Arminda da Con,Escola,SEDUC,Secretaria da Educação,57,sim
Sedu - em Norma Justa D Ara,EM Norma Justa D. Ara,Escola,SEDUC,Secretaria da Educação,57,sim
Sedu - Cei 72 (sueli Gaz Camp),CEI 72 — Sueli Gaz Camp,Escola,SEDUC,Secretaria da Educação,57,sim
Ses - Ubs Wanel Ville,UBS Wanel Ville,UBS,SES,Secretaria da Saúde,56,sim
Ses - Ubs Aparecidinha,UBS Aparecidinha,UBS,SES,Secretaria da Saúde,56,sim
Sedu - Cei 82 (bened M Didi),CEI 82 — Bened M. Didi,Escola,SEDUC,Secretaria da Educação,56,sim
Ses - D. Vig Sanitaria,Divisão de Vigilância Sanitária,Setor,SES,Secretaria da Saúde,55,sim
Sedu - Cei 73 (matilde Gavin),CEI 73 — Matilde Gavin,Escola,SEDUC,Secretaria da Educação,55,sim
Ses - Ubs Ulysses Guimaraes,UBS Ulysses Guimaraes,UBS,SES,Secretaria da Saúde,55,sim
Ses - Ubs Rodrigo,UBS Rodrigo,UBS,SES,Secretaria da Saúde,54,sim
Sedu - Cei 94 (ana L Pazini),CEI 94 — Ana L. Pazini,Escola,SEDUC,Secretaria da Educação,54,sim
Ses - Ubs Marcia Mendes,UBS Marcia Mendes,UBS,SES,Secretaria da Saúde,53,sim
Ses - Samu-motoristas,SAMU — Motoristas,Setor,SES,Secretaria da Saúde,52,sim
