secretaria_canonica,cargo,n,folha_total,folha_media,folha_mediana,pct_feminino
Município (todas as secretarias),AUTONOMOS - PROF. EVENTUAL,2270,3036582.75,1337.7,1416.64,95.52
Município (todas as secretarias),PEB I,2102,27996123.24,13318.8,12648.2,96.48
Município (todas as secretarias),AUX. DE EDUCACAO,1704,8504264.5,4990.77,4722.97,92.68
Município (todas as secretarias),TECNICO DE ENFERMAGEM,659,5119679.0,7768.86,7270.99,79.06
Município (todas as secretarias),PEB I CLT,547,3136152.65,5733.37,4599.99,96.68
Município (todas as secretarias),TEC.DE CONTROLE ADMINISTRATIVO,506,2768421.32,5471.19,4599.26,59.15
Município (todas as secretarias),ESTAGIARIO NIVEL SUPERIOR,486,514858.48,1059.38,1084.8,77.85
Município (todas as secretarias),AUX. DE ADMINISTRACAO,445,2800537.56,6293.34,5385.33,73.53
Município (todas as secretarias),GCM-2A CLASSE,341,2591367.64,7599.32,6553.81,19.47
Município (todas as secretarias),MEDICO 75H,286,6573716.12,22985.02,18885.35,46.26
Município (todas as secretarias),ENFERMEIRO,268,4468885.97,16674.95,14938.03,89.1
Município (todas as secretarias),CHEFE DE SECAO,258,3081324.39,11943.12,11993.66,63.81
Município (todas as secretarias),INSPETOR DE ALUNOS,243,1058446.85,4355.75,4183.54,63.6
Município (todas as secretarias),SECRETARIO DE ESCOLA,149,829711.36,5568.53,5240.32,56.08
Município (todas as secretarias),AGENTE COMUNITARIO DE SAUDE,147,716563.32,4874.58,5194.79,90.34
Município (todas as secretarias),MOTORISTA,143,987941.96,6908.69,6410.59,4.93
Município (todas as secretarias),DIRETOR DE ESCOLA,140,2726024.44,19471.6,17583.48,82.14
Município (todas as secretarias),MEDICO I 100H,123,1853771.62,15071.31,13353.68,63.11
Município (todas as secretarias),ASSESSOR DE GABINETE,120,1801028.78,15008.57,15480.31,47.06
Município (todas as secretarias),CHEFE DE DIVISAO,118,1975595.03,16742.33,15844.78,63.79
