secretaria_canonica,escolaridade_canonica,n,folha_media,folha_mediana
Município (todas as secretarias),Sem escolaridade formal registrada,11,4286.16,3745.37
Município (todas as secretarias),Fundamental incompleto,71,5781.82,5316.73
Município (todas as secretarias),Fundamental completo,280,5371.49,4614.73
Município (todas as secretarias),Medio incompleto,19,6769.56,5543.02
Município (todas as secretarias),Medio completo,3592,5858.13,5194.78
Município (todas as secretarias),Superior incompleto,934,2182.01,1084.8
Município (todas as secretarias),Superior completo,6887,8604.52,7478.65
Município (todas as secretarias),Pos-graduacao,1898,15811.58,14133.37
Município (todas as secretarias),Mestrado,110,21657.42,17931.19
Município (todas as secretarias),Doutorado,27,22573.96,21133.89
