escolaridade_canonica;num_registros;num_matriculas;folha_total;folha_media;folha_mediana
Sem escolaridade formal registrada;1122;24;4228667.73;3768.866069518717;3557.91
Fundamental incompleto;6492;127;31288152.6;4819.493622920518;4483.9
Fundamental completo;20581;459;89061024.26;4327.341929935377;3803.64
Médio incompleto;2101;54;11653800.0;5546.787244169444;4688.18
Médio completo;204854;5396;948405514.73;4629.665589785896;4030.895
Superior incompleto;64842;4890;123089483.96;1898.298694673205;1084.8
Superior completo;397517;12793;2882452292.07;7251.142195352652;5780.56
Pós-graduação;142215;2852;1609869511.64;11319.96984593749;10389.33
Mestrado;8492;145;121749434.31;14336.956466085729;12349.495
Doutorado;2301;37;34858622.41;15149.33611907866;13583.51
