escolaridade_canonica;regime_subgrupo;num_registros;num_matriculas;folha_total;folha_media
Sem escolaridade formal registrada;inativos;764;15;2493835.89;3264.183102094241
Sem escolaridade formal registrada;efetivos;358;9;1734831.84;4845.898994413408
Fundamental incompleto;efetivos;3100;64;18614875.22;6004.798458064516
Fundamental incompleto;inativos;3369;63;12489802.53;3707.2729385574353
Fundamental incompleto;funcao_confianca;23;1;183474.85;7977.167391304348
Fundamental completo;efetivos;11989;254;50957698.26;4250.371028442739
Fundamental completo;inativos;8277;172;37101370.36;4482.465912770327
Fundamental completo;flexiveis;270;37;822162.34;3045.0457037037036
Fundamental completo;funcao_confianca;45;2;179793.30000000002;3995.406666666667
Medio incompleto;efetivos;1748;33;10968243.51;6274.738850114416
Medio incompleto;inativos;168;4;504991.13;3005.8995833333333
Medio incompleto;flexiveis;185;17;180565.36;976.028972972973
Medio completo;efetivos;193425;4467;911658150.78;4713.238468553703
Medio completo;flexiveis;9360;943;18875509.35;2016.6142467948719
Medio completo;inativos;1189;20;8552571.94;7193.0798486122785
Medio completo;funcao_confianca;790;48;7848861.29;9935.267455696203
Medio completo;comissionados;90;4;1470421.3699999999;16338.01522222222
Superior incompleto;flexiveis;52836;4669;59520451.379999995;1126.5131989552576
Superior incompleto;efetivos;11302;207;56749528.52;5021.193463103876
Superior incompleto;funcao_confianca;615;25;5648361.78;9184.328097560976
Superior incompleto;comissionados;89;4;1171142.28;13158.90202247191
Superior completo;efetivos;272852;6323;2226162770.73;8158.865504852448
Superior completo;funcao_confianca;32994;748;374540852.05;11351.786750621326
Superior completo;flexiveis;83308;5714;164049705.74;1969.1951041916743
Superior completo;comissionados;7590;538;109862610.92;14474.652295125165
Superior completo;inativos;773;17;7836352.63;10137.58425614489
Pos-graduacao;efetivos;127839;2159;1503610249.26;11761.749147443268
Pos-graduacao;funcao_confianca;5020;128;79672586.26;15871.033119521913
Pos-graduacao;comissionados;1021;69;15792311.26;15467.49388834476
Pos-graduacao;flexiveis;8064;589;10008079.46;1241.0812822420637
Pos-graduacao;inativos;271;7;786285.4;2901.4221402214025
Mestrado;efetivos;7797;131;108744225.24;13946.931542901115
Mestrado;funcao_confianca;566;14;11956740.16;21124.98261484099
Mestrado;comissionados;55;3;982662.35;17866.58818181818
Mestrado;flexiveis;74;8;65806.56;889.2778378378378
Doutorado;efetivos;2224;34;31770734.29;14285.402108812948
Doutorado;funcao_confianca;74;1;3086391.56;41707.994054054056
Doutorado;flexiveis;3;2;1496.5600000000002;498.8533333333334
