secretaria;escolaridade_canonica;regime_subgrupo;num_registros;num_matriculas;folha_total
Chefia do Poder Executivo;Sem escolaridade formal registrada;inativos;180;13;542331.09
Chefia do Poder Executivo;Fundamental incompleto;inativos;516;41;1782481.04
Chefia do Poder Executivo;Fundamental completo;inativos;1307;98;4804012.96
Chefia do Poder Executivo;Medio incompleto;inativos;28;2;77793.91
Chefia do Poder Executivo;Medio completo;inativos;117;9;671723.92
Chefia do Poder Executivo;Medio completo;comissionados;27;1;537291.54
Chefia do Poder Executivo;Medio completo;efetivos;15;2;147617.25
Chefia do Poder Executivo;Superior incompleto;flexiveis;9;1;9799.36
Chefia do Poder Executivo;Superior completo;funcao_confianca;80;6;1655727.78
Chefia do Poder Executivo;Superior completo;comissionados;61;7;1467033.8
Chefia do Poder Executivo;Superior completo;efetivos;35;2;869525.61
Chefia do Poder Executivo;Superior completo;inativos;67;6;389467.53
Chefia do Poder Executivo;Pos-graduacao;funcao_confianca;10;3;217275.28
Chefia do Poder Executivo;Pos-graduacao;inativos;70;5;199987.11000000002
Inativos e Pensionistas (Encargos);Sem escolaridade formal registrada;inativos;570;15;1902756.08
Inativos e Pensionistas (Encargos);Fundamental incompleto;inativos;2573;63;9735248.71
Inativos e Pensionistas (Encargos);Fundamental completo;inativos;6297;171;28840696.02
Inativos e Pensionistas (Encargos);Medio incompleto;inativos;126;4;389229.55
Inativos e Pensionistas (Encargos);Medio completo;inativos;917;20;6757702.9799999995
Inativos e Pensionistas (Encargos);Superior completo;inativos;604;17;6226381.17
Inativos e Pensionistas (Encargos);Pos-graduacao;inativos;201;7;586298.29
Secretaria da Cidadania;Fundamental incompleto;efetivos;14;1;66464.56
Secretaria da Cidadania;Fundamental completo;efetivos;35;1;130468.31
Secretaria da Cidadania;Medio completo;efetivos;2772;82;10998463.64
Secretaria da Cidadania;Medio completo;funcao_confianca;101;4;1354717.64
Secretaria da Cidadania;Medio completo;flexiveis;121;7;751278.03
Secretaria da Cidadania;Medio completo;comissionados;6;1;64775.200000000004
Secretaria da Cidadania;Superior incompleto;efetivos;226;7;920974.54
Secretaria da Cidadania;Superior incompleto;comissionados;43;1;324609.2
Secretaria da Cidadania;Superior incompleto;flexiveis;146;21;135512.72
Secretaria da Cidadania;Superior completo;efetivos;7657;199;53319623.7
Secretaria da Cidadania;Superior completo;funcao_confianca;2393;66;23184903.61
Secretaria da Cidadania;Superior completo;flexiveis;2031;52;13360089.12
Secretaria da Cidadania;Superior completo;comissionados;400;37;5162785.28
Secretaria da Cidadania;Pos-graduacao;efetivos;2061;37;17847594.91
Secretaria da Cidadania;Pos-graduacao;funcao_confianca;251;6;2868125.04
Secretaria da Cidadania;Pos-graduacao;comissionados;135;6;2211818.05
Secretaria da Cidadania;Mestrado;efetivos;88;4;874526.59
Secretaria da Cidadania;Mestrado;funcao_confianca;1;1;16248.11
Secretaria da Cidadania;Doutorado;efetivos;68;1;675653.42
Secretaria da Educação;Sem escolaridade formal registrada;efetivos;132;3;540074.84
Secretaria da Educação;Fundamental incompleto;efetivos;191;7;720852.11
Secretaria da Educação;Fundamental completo;efetivos;4106;88;12017930.08
Secretaria da Educação;Fundamental completo;flexiveis;260;35;811972.98
Secretaria da Educação;Medio incompleto;efetivos;355;5;1202521.61
Secretaria da Educação;Medio incompleto;flexiveis;13;2;11158.72
Secretaria da Educação;Medio completo;efetivos;85557;1831;290089431.06
Secretaria da Educação;Medio completo;flexiveis;7973;809;16837859.4
Secretaria da Educação;Medio completo;funcao_confianca;47;3;438974.08
Secretaria da Educação;Medio completo;comissionados;19;1;244822.72
Secretaria da Educação;Superior incompleto;flexiveis;38076;3217;44471294.24
Secretaria da Educação;Superior incompleto;efetivos;5651;102;22362615.95
Secretaria da Educação;Superior incompleto;funcao_confianca;1;1;7587.85
Secretaria da Educação;Superior completo;efetivos;154761;3831;1016671441.93
Secretaria da Educação;Superior completo;flexiveis;79133;5540;120312727.53
Secretaria da Educação;Superior completo;funcao_confianca;2580;74;28300209.27
Secretaria da Educação;Superior completo;comissionados;214;19;2802360.23
Secretaria da Educação;Pos-graduacao;efetivos;96495;1629;1026627421.08
Secretaria da Educação;Pos-graduacao;flexiveis;8029;586;9709057.32
Secretaria da Educação;Pos-graduacao;funcao_confianca;587;18;7716943.1
Secretaria da Educação;Pos-graduacao;comissionados;87;7;1613202.51
Secretaria da Educação;Mestrado;efetivos;4527;73;63511328.2
Secretaria da Educação;Mestrado;funcao_confianca;26;2;458308.88
Secretaria da Educação;Mestrado;flexiveis;74;8;65806.56
Secretaria da Educação;Doutorado;efetivos;821;13;11012385.13
Secretaria da Educação;Doutorado;flexiveis;3;2;1496.5600000000002
Secretaria da Fazenda;Fundamental completo;efetivos;72;1;213700.95
Secretaria da Fazenda;Fundamental completo;flexiveis;4;1;4049.92
Secretaria da Fazenda;Medio incompleto;efetivos;55;2;356084.56
Secretaria da Fazenda;Medio completo;efetivos;2086;55;8089768.11
Secretaria da Fazenda;Medio completo;funcao_confianca;51;2;417496.13
Secretaria da Fazenda;Medio completo;flexiveis;235;26;234017.68
Secretaria da Fazenda;Superior incompleto;efetivos;187;7;793151.65
Secretaria da Fazenda;Superior incompleto;flexiveis;261;29;266657.12
Secretaria da Fazenda;Superior completo;efetivos;6202;125;55956244.54
Secretaria da Fazenda;Superior completo;funcao_confianca;2395;54;25212618.46
Secretaria da Fazenda;Superior completo;comissionados;87;13;1160693.8
Secretaria da Fazenda;Superior completo;flexiveis;6;1;6215.5199999999995
Secretaria da Fazenda;Pos-graduacao;efetivos;1078;20;15194250.52
Secretaria da Fazenda;Pos-graduacao;funcao_confianca;98;2;1643360.44
Secretaria da Fazenda;Pos-graduacao;comissionados;15;1;203813.88
Secretaria da Habitação e Regularização Fundiária;Medio completo;efetivos;343;14;1469485.2
Secretaria da Habitação e Regularização Fundiária;Medio completo;flexiveis;47;3;49486.479999999996
Secretaria da Habitação e Regularização Fundiária;Superior incompleto;flexiveis;258;20;269519.76
Secretaria da Habitação e Regularização Fundiária;Superior incompleto;funcao_confianca;16;1;108691.59
Secretaria da Habitação e Regularização Fundiária;Superior completo;efetivos;1025;26;8658093.16
Secretaria da Habitação e Regularização Fundiária;Superior completo;funcao_confianca;470;16;4590336.49
Secretaria da Habitação e Regularização Fundiária;Superior completo;comissionados;170;15;2401599.62
Secretaria da Habitação e Regularização Fundiária;Pos-graduacao;efetivos;117;3;1723654.12
Secretaria da Habitação e Regularização Fundiária;Pos-graduacao;funcao_confianca;112;2;1121053.8699999999
Secretaria da Habitação e Regularização Fundiária;Mestrado;comissionados;46;1;845454.71
Secretaria da Habitação e Regularização Fundiária;Mestrado;efetivos;29;2;233930.11
Secretaria da Mulher;Medio completo;funcao_confianca;4;1;111621.06
Secretaria da Mulher;Medio completo;efetivos;1;1;15983.42
Secretaria da Mulher;Superior completo;comissionados;101;10;1654073.3800000001
Secretaria da Mulher;Superior completo;funcao_confianca;42;3;513573.65
Secretaria da Mulher;Superior completo;efetivos;19;3;153468.53
Secretaria da Mulher;Pos-graduacao;efetivos;26;2;305332.95
Secretaria da Mulher;Pos-graduacao;funcao_confianca;14;1;158408.1
Secretaria da Mulher;Pos-graduacao;comissionados;4;1;56306.18
Secretaria da Mulher;Mestrado;efetivos;18;1;646224.5
Secretaria da Saúde;Fundamental incompleto;efetivos;607;12;4132265.46
Secretaria da Saúde;Fundamental completo;efetivos;4223;74;19125842.32
Secretaria da Saúde;Fundamental completo;funcao_confianca;45;2;179793.30000000002
Secretaria da Saúde;Medio incompleto;efetivos;458;9;2350812.6
Secretaria da Saúde;Medio completo;efetivos;70689;1574;376450918.33
Secretaria da Saúde;Medio completo;funcao_confianca;175;13;1180090.57
Secretaria da Saúde;Medio completo;flexiveis;186;17;194141.91999999998
Secretaria da Saúde;Superior incompleto;efetivos;2885;53;16638007.82
Secretaria da Saúde;Superior incompleto;funcao_confianca;245;10;2311006.74
Secretaria da Saúde;Superior incompleto;flexiveis;2007;197;2032183.72
Secretaria da Saúde;Superior completo;efetivos;63273;1367;698495162.6
Secretaria da Saúde;Superior completo;funcao_confianca;7360;192;96048566.35
Secretaria da Saúde;Superior completo;flexiveis;1949;100;30182015.33
Secretaria da Saúde;Superior completo;comissionados;697;58;9909818.17
Secretaria da Saúde;Pos-graduacao;efetivos;21152;355;331733653.86
Secretaria da Saúde;Pos-graduacao;funcao_confianca;2333;57;45140932.98
Secretaria da Saúde;Pos-graduacao;comissionados;83;7;1359785.32
Secretaria da Saúde;Pos-graduacao;flexiveis;34;2;298949.82
Secretaria da Saúde;Mestrado;efetivos;2616;44;36097863.21
Secretaria da Saúde;Mestrado;funcao_confianca;258;6;7655420.99
Secretaria da Saúde;Mestrado;comissionados;7;1;107928.88
Secretaria da Saúde;Doutorado;efetivos;1108;17;17441133.8
Secretaria da Saúde;Doutorado;funcao_confianca;74;1;3086391.56
Secretaria de Administração;Fundamental incompleto;efetivos;817;14;5539826.45
Secretaria de Administração;Fundamental completo;efetivos;612;11;3014308.94
Secretaria de Administração;Medio incompleto;efetivos;244;4;1689825.92
Secretaria de Administração;Medio incompleto;flexiveis;93;8;91640.0
Secretaria de Administração;Medio completo;efetivos;2293;62;10540838.58
Secretaria de Administração;Medio completo;funcao_confianca;97;5;823598.44
Secretaria de Administração;Medio completo;flexiveis;228;22;235438.56
Secretaria de Administração;Superior incompleto;flexiveis;2060;195;2114151.84
Secretaria de Administração;Superior incompleto;efetivos;241;5;1294940.14
Secretaria de Administração;Superior incompleto;funcao_confianca;15;1;105357.67
Secretaria de Administração;Superior completo;efetivos;5095;156;35617649.81
Secretaria de Administração;Superior completo;funcao_confianca;2988;75;31175801.32
Secretaria de Administração;Superior completo;comissionados;267;26;4050144.48
Secretaria de Administração;Superior completo;flexiveis;29;4;29087.68
Secretaria de Administração;Pos-graduacao;efetivos;888;31;12421446.93
Secretaria de Administração;Pos-graduacao;funcao_confianca;201;5;2270018.62
Secretaria de Administração;Pos-graduacao;comissionados;59;7;775859.87
Secretaria de Assuntos Jurídicos e Patrimônio;Fundamental completo;efetivos;143;3;737278.72
Secretaria de Assuntos Jurídicos e Patrimônio;Medio completo;efetivos;1444;54;5117251.15
Secretaria de Assuntos Jurídicos e Patrimônio;Medio completo;funcao_confianca;88;3;1318890.36
Secretaria de Assuntos Jurídicos e Patrimônio;Medio completo;flexiveis;19;2;17458.96
Secretaria de Assuntos Jurídicos e Patrimônio;Superior incompleto;flexiveis;508;68;513341.83999999997
Secretaria de Assuntos Jurídicos e Patrimônio;Superior incompleto;efetivos;29;2;75804.93
Secretaria de Assuntos Jurídicos e Patrimônio;Superior completo;efetivos;3834;111;65794692.78
Secretaria de Assuntos Jurídicos e Patrimônio;Superior completo;funcao_confianca;1594;41;16606110.22
Secretaria de Assuntos Jurídicos e Patrimônio;Superior completo;comissionados;93;8;1342553.22
Secretaria de Assuntos Jurídicos e Patrimônio;Superior completo;flexiveis;27;3;22276.32
Secretaria de Assuntos Jurídicos e Patrimônio;Pos-graduacao;efetivos;976;18;30463241.74
Secretaria de Assuntos Jurídicos e Patrimônio;Pos-graduacao;funcao_confianca;110;3;2340358.75
Secretaria de Assuntos Jurídicos e Patrimônio;Mestrado;efetivos;74;1;2628298.71
Secretaria de Comunicação;Medio completo;efetivos;91;4;352925.9
Secretaria de Comunicação;Superior incompleto;flexiveis;290;26;295078.0
Secretaria de Comunicação;Superior completo;funcao_confianca;779;15;7725205.8
Secretaria de Comunicação;Superior completo;comissionados;485;32;6903168.67
Secretaria de Comunicação;Superior completo;efetivos;288;11;2379082.59
Secretaria de Comunicação;Pos-graduacao;funcao_confianca;105;2;1229751.73
Secretaria de Comunicação;Pos-graduacao;efetivos;35;1;730305.66
Secretaria de Comunicação;Pos-graduacao;comissionados;13;2;148834.46
Secretaria de Cultura;Fundamental incompleto;efetivos;121;4;467362.96
Secretaria de Cultura;Fundamental completo;efetivos;184;5;502061.11
Secretaria de Cultura;Medio incompleto;efetivos;70;1;380224.74
Secretaria de Cultura;Medio completo;efetivos;1080;29;4692577.29
Secretaria de Cultura;Medio completo;flexiveis;58;4;59853.439999999995
Secretaria de Cultura;Superior incompleto;efetivos;154;3;1241677.26
Secretaria de Cultura;Superior incompleto;flexiveis;962;101;969101.73
Secretaria de Cultura;Superior incompleto;funcao_confianca;51;2;398026.97
Secretaria de Cultura;Superior completo;efetivos;746;22;4923072.14
Secretaria de Cultura;Superior completo;comissionados;290;17;4288825.52
Secretaria de Cultura;Superior completo;funcao_confianca;345;7;3818952.33
Secretaria de Cultura;Superior completo;flexiveis;43;4;43923.2
Secretaria de Cultura;Pos-graduacao;efetivos;332;8;3780948.83
Secretaria de Cultura;Pos-graduacao;comissionados;78;4;1029711.3
Secretaria de Cultura;Mestrado;efetivos;82;4;892568.84
Secretaria de Cultura;Mestrado;funcao_confianca;35;1;370947.32
Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;Sem escolaridade formal registrada;inativos;14;1;48748.72
Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;Fundamental incompleto;inativos;280;21;972072.78
Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;Fundamental completo;inativos;673;54;3456661.38
Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;Fundamental completo;efetivos;32;1;67574.05
Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;Medio incompleto;inativos;14;1;37967.67
Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;Medio incompleto;flexiveis;20;2;21780.399999999998
Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;Medio completo;efetivos;354;15;1454749.46
Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;Medio completo;inativos;155;11;1123145.04
