ano;escolaridade_canonica;num_registros;num_matriculas;folha_total;folha_media
2022;Analfabeto;305;24;1022015.38;3350.870098360656
2022;Fundamental incompleto;1671;127;6791060.7700000005;4064.0698803111914
2022;Fundamental completo;4290;343;16072455.4;3746.4931002331004
2022;Medio incompleto;548;45;2725830.47;4974.143193430657
2022;Medio completo;34937;2882;137683077.78;3940.895834788333
2022;Superior incompleto;13669;1932;23814469.14;1742.224679201112
2022;Superior completo;75126;7071;460299583.74;6127.034365466017
2022;Pos-graduacao;30833;2500;292646895.32;9491.353268251549
2022;Mestrado;1837;141;21554178.79;11733.358078388677
2022;Doutorado;507;37;6260133.73;12347.403806706116
2023;Analfabeto;304;22;1077084.25;3543.0402960526317
2023;Fundamental incompleto;1616;117;7034019.05;4352.734560643565
2023;Fundamental completo;4760;342;18881340.86;3966.6682478991597
2023;Medio incompleto;562;47;2694560.14;4794.590996441281
2023;Medio completo;43539;3238;177119111.57;4068.056491191805
2023;Superior incompleto;15333;2019;26219543.86;1710.0074258136046
2023;Superior completo;83812;7147;558254897.46;6660.799139264068
2023;Pos-graduacao;31689;2333;325246222.04;10263.694721827764
2023;Mestrado;1853;125;23448346.11;12654.2612574204
2023;Doutorado;516;34;6794781.84;13168.181860465116
2024;Analfabeto;228;20;932103.11;4088.1715350877193
2024;Fundamental incompleto;1398;103;7233924.15;5174.480793991416
2024;Fundamental completo;4562;347;20718464.23;4541.530957913196
2024;Medio incompleto;441;35;2619734.75;5940.441609977324
2024;Medio completo;45561;3430;217656695.37;4777.258957661158
2024;Superior incompleto;14363;1989;27081584.349999998;1885.510293810485
2024;Superior completo;87594;7581;649863425.51;7419.040408132977
2024;Pos-graduacao;31019;2288;360651796.48;11626.80281375931
2024;Mestrado;1872;120;27576146.71;14730.847601495727
2024;Doutorado;508;33;7802725.68;15359.69622047244
2025;Analfabeto;191;15;791417.42;4143.546701570681
2025;Fundamental incompleto;1209;93;6644351.98;5495.741918941274
2025;Fundamental completo;4550;342;20669426.6;4542.731120879122
2025;Medio incompleto;362;30;2378917.39;6571.595
2025;Medio completo;49202;3607;245128567.76;4982.0854388033
2025;Superior incompleto;13366;1859;27957827.16;2091.7123417626813
2025;Superior completo;91654;7904;720985095.88;7866.378945599756
2025;Pos-graduacao;29954;2175;377601682.99;12606.05204613741
2025;Mestrado;1822;118;29282180.75;16071.449368825466
2025;Doutorado;503;31;8826954.11;17548.61652087475
2026;Analfabeto;94;13;406047.57;4319.655
2026;Fundamental incompleto;598;74;3584796.65;5994.643227424749
2026;Fundamental completo;2419;297;12719337.17;5258.097217858619
2026;Medio incompleto;188;22;1234757.25;6567.857712765957
2026;Medio completo;31615;3815;170818062.25;5403.070132848332
2026;Superior incompleto;8111;1477;18016059.45;2221.188441622488
2026;Superior completo;59331;8186;493049289.48;8310.14628912373
2026;Pos-graduacao;18720;2086;253722914.81;13553.574509081196
2026;Mestrado;1108;114;19888581.95;17949.98370938628
2026;Doutorado;267;29;5174027.05;19378.378464419475
