secretaria;escolaridade_canonica;num_registros;num_matriculas;folha_total;folha_media;folha_mediana
Chefia do Poder Executivo;Sem escolaridade formal registrada;180;13;542331.09;3012.9505;2909.385
Chefia do Poder Executivo;Fundamental incompleto;516;41;1782481.04;3454.4206201550387;3545.54
Chefia do Poder Executivo;Fundamental completo;1307;98;4804012.96;3675.6028768171386;3546.9
Chefia do Poder Executivo;Medio incompleto;28;2;77793.91;2778.3539285714287;2814.0299999999997
Chefia do Poder Executivo;Medio completo;159;12;1356632.71;8532.281194968553;5440.15
Chefia do Poder Executivo;Superior incompleto;9;1;9799.36;1088.8177777777778;1084.8
Chefia do Poder Executivo;Superior completo;243;21;4381754.72;18031.912427983538;20813.73
Chefia do Poder Executivo;Pos-graduacao;80;8;417262.39;5215.779875;3021.9350000000004
Inativos e Pensionistas (Encargos);Sem escolaridade formal registrada;570;15;1902756.08;3338.168561403509;3256.295
Inativos e Pensionistas (Encargos);Fundamental incompleto;2573;63;9735248.71;3783.617842984843;3805.36
Inativos e Pensionistas (Encargos);Fundamental completo;6297;171;28840696.02;4580.069242496427;4079.1
Inativos e Pensionistas (Encargos);Medio incompleto;126;4;389229.55;3089.1234126984127;3249.32
Inativos e Pensionistas (Encargos);Medio completo;917;20;6757702.9799999995;7369.359847328244;6764.55
Inativos e Pensionistas (Encargos);Superior completo;604;17;6226381.17;10308.57809602649;8689.29
Inativos e Pensionistas (Encargos);Pos-graduacao;201;7;586298.29;2916.906915422886;2805.14
Secretaria da Cidadania;Fundamental incompleto;14;1;66464.56;4747.4685714285715;4582.705
Secretaria da Cidadania;Fundamental completo;35;1;130468.31;3727.6659999999997;4259.78
Secretaria da Cidadania;Medio completo;3000;93;13169234.51;4389.744836666667;3937.24
Secretaria da Cidadania;Superior incompleto;415;28;1381096.46;3327.9432771084334;2820.14
Secretaria da Cidadania;Superior completo;12481;312;95027401.71;7613.76505969073;6872.11
Secretaria da Cidadania;Pos-graduacao;2447;45;22927538.0;9369.651818553331;8403.01
Secretaria da Cidadania;Mestrado;89;5;890774.7;10008.704494382022;8701.83
Secretaria da Cidadania;Doutorado;68;1;675653.42;9936.079705882354;9344.575
Secretaria da Educação;Sem escolaridade formal registrada;132;3;540074.84;4091.4760606060604;4054.545
Secretaria da Educação;Fundamental incompleto;191;7;720852.11;3774.094816753927;3658.25
Secretaria da Educação;Fundamental completo;4366;119;12829903.06;2938.594379294549;3308.75
Secretaria da Educação;Medio incompleto;368;7;1213680.33;3298.0443750000004;3551.4399999999996
Secretaria da Educação;Medio completo;93596;2600;307611087.26;3286.5836922518056;3491.88
Secretaria da Educação;Superior incompleto;43728;3319;66841498.04;1528.5743240029271;1084.8
Secretaria da Educação;Superior completo;236688;9415;1168086738.96;4935.13291320219;3725.57
Secretaria da Educação;Pos-graduacao;105198;2223;1045666624.01;9939.985779292381;9901.74
Secretaria da Educação;Mestrado;4627;81;64035443.64;13839.51667170953;12604.68
Secretaria da Educação;Doutorado;824;15;11013881.69;13366.361274271843;12545.4
Secretaria da Fazenda;Fundamental completo;76;2;217750.87;2865.1430263157895;3379.035
Secretaria da Fazenda;Medio incompleto;55;2;356084.56;6474.264727272727;5110.35
Secretaria da Fazenda;Medio completo;2372;81;8741281.92;3685.1947386172005;3462.33
Secretaria da Fazenda;Superior incompleto;448;36;1059808.77;2365.644575892857;1084.8
Secretaria da Fazenda;Superior completo;8690;165;82335772.32;9474.772418872266;7695.49
Secretaria da Fazenda;Pos-graduacao;1191;22;17041424.84;14308.501125104955;14301.28
Secretaria da Habitação e Regularização Fundiária;Medio completo;390;17;1518971.68;3894.799179487179;3778.455
Secretaria da Habitação e Regularização Fundiária;Superior incompleto;274;21;378211.35;1380.3333941605838;1084.8
Secretaria da Habitação e Regularização Fundiária;Superior completo;1665;51;15650029.27;9399.41697897898;9327.3
Secretaria da Habitação e Regularização Fundiária;Pos-graduacao;229;4;2844707.99;12422.305633187774;11598.25
Secretaria da Habitação e Regularização Fundiária;Mestrado;75;2;1079384.82;14391.797600000002;17617.8
Secretaria da Mulher;Medio completo;5;1;127604.48000000001;25520.896;17023.27
Secretaria da Mulher;Superior completo;162;15;2321115.56;14327.873827160494;14728.310000000001
Secretaria da Mulher;Pos-graduacao;44;3;520047.23;11819.255227272726;12647.535
Secretaria da Mulher;Mestrado;18;1;646224.5;35901.36111111111;37498.235
Secretaria da Saúde;Fundamental incompleto;607;12;4132265.46;6807.686095551894;6634.87
Secretaria da Saúde;Fundamental completo;4268;74;19305635.62;4523.344803186505;4357.405
Secretaria da Saúde;Medio incompleto;458;9;2350812.6;5132.778602620087;4861.24
Secretaria da Saúde;Medio completo;71050;1595;377825150.82;5317.736112878255;5125.49
Secretaria da Saúde;Superior incompleto;5137;256;20981198.28;4084.329040295893;2904.45
Secretaria da Saúde;Superior completo;73279;1586;834635562.45;11389.832864122054;9011.11
Secretaria da Saúde;Pos-graduacao;23602;383;378533321.98;16038.188373019237;13489.46
Secretaria da Saúde;Mestrado;2881;47;43861213.08;15224.30165914613;12290.2
Secretaria da Saúde;Doutorado;1182;18;20527525.36;17366.77272419628;14978.595000000001
Secretaria de Administração;Fundamental incompleto;817;14;5539826.45;6780.693329253366;6584.21
Secretaria de Administração;Fundamental completo;612;11;3014308.94;4925.341405228758;4720.57
Secretaria de Administração;Medio incompleto;337;12;1781465.92;5286.249020771513;5996.02
Secretaria de Administração;Medio completo;2618;87;11599875.58;4430.815729564553;4021.0649999999996
Secretaria de Administração;Superior incompleto;2316;201;3514449.65;1517.4653065630396;1084.8
Secretaria de Administração;Superior completo;8379;225;70872683.29;8458.370126506743;7412.28
Secretaria de Administração;Pos-graduacao;1148;39;15467325.42;13473.279982578397;10194.63
Secretaria de Assuntos Jurídicos e Patrimônio;Fundamental completo;143;3;737278.72;5155.795244755244;4627.19
Secretaria de Assuntos Jurídicos e Patrimônio;Medio completo;1551;57;6453600.47;4160.928736299162;3688.41
Secretaria de Assuntos Jurídicos e Patrimônio;Superior incompleto;537;70;589146.77;1097.1075791433893;1078.64
Secretaria de Assuntos Jurídicos e Patrimônio;Superior completo;5548;145;83765632.54;15098.347609949533;9811.725
Secretaria de Assuntos Jurídicos e Patrimônio;Pos-graduacao;1086;19;32803600.49;30205.893637200734;26830.915
Secretaria de Assuntos Jurídicos e Patrimônio;Mestrado;74;1;2628298.71;35517.550135135134;37713.884999999995
Secretaria de Comunicação;Medio completo;91;4;352925.9;3878.3065934065935;4002.8
Secretaria de Comunicação;Superior incompleto;290;26;295078.0;1017.5103448275862;1084.8
Secretaria de Comunicação;Superior completo;1552;52;17007457.06;10958.41305412371;10632.689999999999
Secretaria de Comunicação;Pos-graduacao;153;5;2108891.85;13783.606862745099;12185.62
Secretaria de Cultura;Fundamental incompleto;121;4;467362.96;3862.503801652893;3589.57
Secretaria de Cultura;Fundamental completo;184;5;502061.11;2728.5929891304345;2397.89
Secretaria de Cultura;Medio incompleto;70;1;380224.74;5431.782;5595.095
Secretaria de Cultura;Medio completo;1138;33;4752430.73;4176.125421792619;3936.965
Secretaria de Cultura;Superior incompleto;1167;104;2608805.96;2235.4806855184233;1084.8
Secretaria de Cultura;Superior completo;1424;47;13074773.19;9181.722745786516;8017.1
Secretaria de Cultura;Pos-graduacao;410;12;4810660.13;11733.317390243903;9970.715
Secretaria de Cultura;Mestrado;117;4;1263516.16;10799.283418803418;9448.33
Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;Sem escolaridade formal registrada;14;1;48748.72;3482.0514285714285;3716.2
Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;Fundamental incompleto;280;21;972072.78;3471.6885;3534.4
Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;Fundamental completo;705;55;3524235.43;4998.9155035461;4169.76
Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;Medio incompleto;34;3;59748.07;1757.2961764705883;1084.8
Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;Medio completo;554;32;2621613.86;4732.1549819494585;3252.02
Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;Superior incompleto;352;37;499468.45;1418.9444602272727;1084.8
