ano;faixa_tempo;num_registros;num_matriculas;folha_total;folha_media
2022;0-5;13997;1911;50853732.36;3633.187994570265
2022;6-10;22223;1768;89997935.94;4049.765375511857
2022;11-15;48304;3756;265661377.72;5499.780095230209
2022;16-20;28227;2112;212422116.29;7525.493899103695
2022;21-25;11720;974;95432519.77;8142.706465017064
2022;26-30;3183;252;32325577.38;10155.695061262959
2022;30+;36069;4329;222176441.06;6159.7615974936925
2023;0-5;26485;2747;107019462.89;4040.7575189730037
2023;6-10;22020;1611;106495325.79;4836.299990463215
2023;11-15;49506;3539;301764799.75;6095.519729931725
2023;16-20;29190;1986;238244445.99;8161.851524152107
2023;21-25;11376;859;101139637.78;8890.615135372715
2023;26-30;2837;215;30807324.05;10859.120215015862
2023;30+;42570;4467;261298910.93;6138.099857411323
2024;0-5;41371;3814;202900913.32;4904.42371032849
2024;6-10;21783;1637;127987739.25;5875.5790869026305
2024;11-15;48656;3518;345630596.38;7103.555499424531
2024;16-20;28522;1974;267608414.71;9382.52628532361
2024;21-25;11087;862;114930512.09;10366.240830702625
2024;26-30;2704;199;33701792.49;12463.6806545858
2024;30+;33423;3942;229376632.1;6862.837928971067
2025;0-5;55495;4930;292396877.78;5268.8868867465535
2025;6-10;22004;1712;140705683.46;6394.550239047447
2025;11-15;49277;3663;375550858.98;7621.220021105181
2025;16-20;28601;1985;289757517.34;10131.027493444284
2025;21-25;11096;852;124837819.58;11250.704720620042
2025;26-30;2739;208;34711711.96;12673.133245710114
2025;30+;23601;2824;182305952.94;7724.5012050336845
2026;0-5;40401;5987;227157226.13;5622.564444691963
2026;6-10;16803;2121;109964344.59;6544.328071772898
2026;11-15;31063;3592;255933944.1;8239.189521295431
2026;16-20;17913;1966;198528757.29;11082.942962652822
2026;21-25;7085;839;84326103.37;11902.061167254764
2026;26-30;1667;194;23738119.24;14240.02353929214
2026;30+;7519;1414;78965378.91;10502.111838010373
