secretaria;faixa_tempo;num_registros;num_matriculas;folha_total;folha_media
Chefia do Poder Executivo;0-5;83;6;1426441.02;17186.036385542167
Chefia do Poder Executivo;6-10;262;20;1115891.52;4259.127938931298
Chefia do Poder Executivo;11-15;314;26;1572018.06;5006.42694267516
Chefia do Poder Executivo;16-20;297;23;1385652.58;4665.496902356903
Chefia do Poder Executivo;21-25;266;17;2383489.62;8960.487293233084
Chefia do Poder Executivo;26-30;193;14;603512.76;3127.0091191709844
Chefia do Poder Executivo;30+;1107;90;4885062.62;4412.884028906956
Inativos e Pensionistas (Encargos);0-5;50;1;177550.77;3551.0153999999998
Inativos e Pensionistas (Encargos);6-10;987;22;4376234.8;4433.875177304964
Inativos e Pensionistas (Encargos);11-15;929;21;4465333.41;4806.6021636167925
Inativos e Pensionistas (Encargos);16-20;1033;24;4851055.91;4696.085101645693
Inativos e Pensionistas (Encargos);21-25;709;21;3344622.61;4717.380267983074
Inativos e Pensionistas (Encargos);26-30;1104;28;4747386.82;4300.169221014493
Inativos e Pensionistas (Encargos);30+;6476;197;32476128.48;5014.843804817789
Secretaria da Cidadania;0-5;4337;143;24843996.03;5728.382759972332
Secretaria da Cidadania;6-10;1914;40;12405315.9;6481.356269592477
Secretaria da Cidadania;11-15;6907;124;47625324.64;6895.225805704358
Secretaria da Cidadania;16-20;2237;44;21904045.32;9791.705552078676
Secretaria da Cidadania;21-25;18;1;322183.35;17899.074999999997
Secretaria da Cidadania;30+;3136;147;27167766.43;8663.190825892858
Secretaria da Educação;0-5;123271;5234;502584151.29;4077.0672038841253
Secretaria da Educação;6-10;79462;2058;389861598.05;4906.264605094259
Secretaria da Educação;11-15;122823;2933;748849876.1;6096.984083599978
Secretaria da Educação;16-20;65530;1396;505839490.74;7719.2048029909965
Secretaria da Educação;21-25;30996;833;252597146.35;8149.34657213834
Secretaria da Educação;26-30;2891;112;22375958.95;7739.868194396402
Secretaria da Educação;30+;64745;5225;256451562.46;3960.9477559657116
Secretaria da Fazenda;0-5;963;34;4665816.1;4845.084215991692
Secretaria da Fazenda;6-10;2543;43;16041657.36;6308.162548171451
Secretaria da Fazenda;11-15;2809;54;19310089.14;6874.364236383055
Secretaria da Fazenda;16-20;4599;71;52686527.3;11456.08334420526
Secretaria da Fazenda;21-25;69;1;335825.42;4867.035072463768
Secretaria da Fazenda;30+;1849;108;16712207.96;9038.511606273662
Secretaria da Habitação e Regularização Fundiária;0-5;564;18;4662090.72;8266.11829787234
Secretaria da Habitação e Regularização Fundiária;6-10;294;7;2416257.88;8218.564217687075
Secretaria da Habitação e Regularização Fundiária;11-15;652;15;5415024.8;8305.252760736195
Secretaria da Habitação e Regularização Fundiária;16-20;581;11;6435643.19;11076.838537005164
Secretaria da Habitação e Regularização Fundiária;30+;542;44;2542288.52;4690.569225092251
Secretaria da Mulher;0-5;101;8;1336570.1300000001;13233.367623762377
Secretaria da Mulher;11-15;59;4;754154.87;12782.28593220339
Secretaria da Mulher;16-20;34;2;824744.82;24257.200588235293
Secretaria da Mulher;30+;35;6;699521.9500000001;19986.34142857143
Secretaria da Saúde;0-5;27567;1060;195272185.39;7083.548641128886
Secretaria da Saúde;6-10;8872;175;64858129.51;7310.429385707845
Secretaria da Saúde;11-15;59901;889;446347086.46;7451.412939016042
Secretaria da Saúde;16-20;44143;650;467509605.93;10590.798222368212
Secretaria da Saúde;21-25;15452;232;208445691.98;13489.88428552938
Secretaria da Saúde;26-30;2772;49;50735507.09;18302.852485569987
Secretaria da Saúde;30+;23757;1050;268984479.29;11322.325179526035
Secretaria de Administração;0-5;1925;88;9721664.01;5050.21507012987
Secretaria de Administração;6-10;1647;32;12251790.42;7438.852714025501
Secretaria de Administração;11-15;4937;105;37485700.09;7592.809416649788
Secretaria de Administração;16-20;1883;40;16207748.74;8607.40772172066
Secretaria de Administração;21-25;3;2;62422.93;20807.643333333333
Secretaria de Administração;26-30;49;2;763101.61;15573.502244897958
Secretaria de Administração;30+;5783;331;35297507.45;6103.667205602629
Secretaria de Assuntos Jurídicos e Patrimônio;0-5;1828;60;22508953.26;12313.431761487966
Secretaria de Assuntos Jurídicos e Patrimônio;6-10;1854;37;27538205.92;14853.401251348438
Secretaria de Assuntos Jurídicos e Patrimônio;11-15;2244;46;29791776.55;13276.192758467023
Secretaria de Assuntos Jurídicos e Patrimônio;16-20;1384;27;22297172.46;16110.673742774567
Secretaria de Assuntos Jurídicos e Patrimônio;21-25;10;1;90817.43;9081.742999999999
Secretaria de Assuntos Jurídicos e Patrimônio;30+;1619;124;24750632.08;15287.60474366893
Secretaria de Comunicação;0-5;316;19;2740735.4;8673.21329113924
Secretaria de Comunicação;6-10;360;5;3293533.05;9148.702916666665
Secretaria de Comunicação;11-15;402;9;3944210.66;9811.469303482587
Secretaria de Comunicação;16-20;364;5;3824113.45;10505.806181318681
Secretaria de Comunicação;30+;644;48;5961760.25;9257.391692546584
Secretaria de Cultura;0-5;604;33;3901602.65;6459.607036423841
Secretaria de Cultura;6-10;277;14;852252.8;3076.7249097472927
Secretaria de Cultura;11-15;1447;25;10318824.95;7131.185176226675
Secretaria de Cultura;16-20;311;6;2163722.64;6957.307524115756
Secretaria de Cultura;30+;1992;129;10623431.94;5333.0481626506025
Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;0-5;311;21;1936313.97;6226.089935691318
Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;6-10;704;24;2681182.46;3808.4978125
Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;11-15;602;21;5206581.14;8648.805880398671
Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;16-20;515;15;4238292.77;8229.694699029125
Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;26-30;100;9;597641.09;5976.4109
Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;30+;2015;164;14193758.96;7044.049111662532
Secretaria de Empreendedorismo da Micro e Pequena Empresa;0-5;125;14;1028774.47;8230.19576
Secretaria de Empreendedorismo da Micro e Pequena Empresa;6-10;114;8;1169691.87;10260.455000000002
Secretaria de Empreendedorismo da Micro e Pequena Empresa;11-15;112;7;748996.04;6687.464642857143
Secretaria de Empreendedorismo da Micro e Pequena Empresa;16-20;117;5;1127107.02;9633.393333333333
Secretaria de Empreendedorismo da Micro e Pequena Empresa;30+;49;8;804274.37;16413.762653061225
Secretaria de Esportes e Lazer;0-5;1054;51;6710874.0;6367.053130929791
Secretaria de Esportes e Lazer;6-10;516;13;2533751.12;4910.3703875968995
Secretaria de Esportes e Lazer;11-15;1408;23;10641004.35;7557.531498579545
Secretaria de Esportes e Lazer;16-20;511;12;5481082.78;10726.18939334638
Secretaria de Esportes e Lazer;30+;2384;112;24816101.31;10409.438468959732
Secretaria de Gabinete Central;0-5;1284;84;7461512.81;5811.147048286604
Secretaria de Gabinete Central;6-10;616;26;5934891.89;9634.564756493506
Secretaria de Gabinete Central;11-15;2259;72;20835162.76;9223.179619300576
Secretaria de Gabinete Central;16-20;1138;31;14637414.22;12862.40265377856
Secretaria de Gabinete Central;21-25;181;3;3339737.53;18451.58856353591
Secretaria de Gabinete Central;26-30;27;1;558726.4;20693.570370370373
Secretaria de Gabinete Central;30+;1207;115;13505831.4;11189.586909693455
Secretaria de Governo;0-5;1344;90;11222165.97;8349.825870535715
Secretaria de Governo;6-10;603;26;4962896.04;8230.34169154229
Secretaria de Governo;11-15;1557;55;21066695.18;13530.311612074502
Secretaria de Governo;16-20;936;30;11648143.8;12444.598076923077
Secretaria de Governo;21-25;175;7;3097586.57;17700.494685714286
Secretaria de Governo;26-30;85;4;997982.76;11740.973647058823
Secretaria de Governo;30+;2847;298;23784469.37;8354.221766772042
Secretaria de Inclusão e Transtorno do Espectro Autista;0-5;41;6;209004.38;5097.667804878049
Secretaria de Inclusão e Transtorno do Espectro Autista;11-15;49;4;728334.46;14863.968571428572
Secretaria de Inclusão e Transtorno do Espectro Autista;16-20;68;3;677323.35;9960.637499999999
Secretaria de Inclusão e Transtorno do Espectro Autista;30+;92;6;1442003.67;15673.952934782608
Secretaria de Mobilidade;0-5;561;46;3146505.91;5608.744937611408
Secretaria de Mobilidade;6-10;77;7;210086.24;2728.3927272727274
Secretaria de Mobilidade;11-15;419;15;3844092.15;9174.444272076373
Secretaria de Mobilidade;16-20;149;5;1791899.36;12026.170201342282
Secretaria de Mobilidade;21-25;54;3;543790.22;10070.18925925926
Secretaria de Mobilidade;26-30;99;5;1385100.33;13990.912424242424
Secretaria de Mobilidade;30+;962;57;8512431.33;8848.681216216217
Secretaria de Parcerias;0-5;610;37;5514748.64;9040.571540983607
Secretaria de Parcerias;6-10;52;4;497225.09;9562.020961538463
Secretaria de Parcerias;11-15;150;11;1408799.3;9391.995333333334
Secretaria de Parcerias;16-20;213;10;2538346.49;11917.119671361503
Secretaria de Parcerias;30+;166;17;1118944.29;6740.628253012049
Secretaria de Planejamento e Desenvolvimento Urbano;0-5;2335;85;14583749.95;6245.717323340471
Secretaria de Planejamento e Desenvolvimento Urbano;6-10;884;23;5447409.05;6162.227432126697
Secretaria de Planejamento e Desenvolvimento Urbano;11-15;1947;38;17651867.54;9066.1877452491
Secretaria de Planejamento e Desenvolvimento Urbano;16-20;1846;38;14894081.47;8068.299821235103
Secretaria de Planejamento e Desenvolvimento Urbano;21-25;3;1;42115.82;14038.606666666667
Secretaria de Planejamento e Desenvolvimento Urbano;26-30;286;6;3318165.88;11601.978601398601
Secretaria de Planejamento e Desenvolvimento Urbano;30+;3044;187;23010851.8;7559.412549277267
Secretaria de Recursos Humanos;0-5;1449;51;7588389.51;5236.983788819875
Secretaria de Recursos Humanos;6-10;1085;23;7305670.5;6733.336866359447
Secretaria de Recursos Humanos;11-15;2667;57;19677814.69;7378.258226471691
Secretaria de Recursos Humanos;16-20;1850;39;18818074.65;10171.932243243242
Secretaria de Recursos Humanos;21-25;75;1;1243975.97;16586.346266666667
Secretaria de Recursos Humanos;30+;1225;124;5674497.65;4632.242979591837
Secretaria de Relações Institucionais e Metropolitanas;0-5;29;4;375351.39;12943.151379310346
Secretaria de Relações Institucionais e Metropolitanas;6-10;89;5;707834.27;7953.194044943821
Secretaria de Relações Institucionais e Metropolitanas;11-15;164;5;1782663.3800000001;10869.898658536586
Secretaria de Relações Institucionais e Metropolitanas;16-20;214;4;2116288.22;9889.197289719626
Secretaria de Relações Institucionais e Metropolitanas;26-30;14;1;266105.81;19007.557857142856
Secretaria de Relações Institucionais e Metropolitanas;30+;283;26;4076611.18;14404.986501766785
Secretaria de Relações do Trabalho e Qualificação Profissional;0-5;432;25;2889620.48;6688.936296296296
Secretaria de Relações do Trabalho e Qualificação Profissional;6-10;370;14;1385427.19;3744.397810810811
Secretaria de Relações do Trabalho e Qualificação Profissional;11-15;239;11;2066623.44;8646.96
Secretaria de Relações do Trabalho e Qualificação Profissional;16-20;202;8;1813262.51;8976.547079207921
Secretaria de Relações do Trabalho e Qualificação Profissional;30+;527;55;3687911.57;6997.934667931689
