secretaria;folha_total;folha_liquida_total;num_registros;num_matriculas;meses_presentes;folha_media_mensal;percentual_folha;meses_reais
Secretaria da Educação;2678559783.94;1693107361.44;489718;17451;56;47831424.713214286;45.74;56
Secretaria da Saúde;1702152685.65;1119958539.78;182464;3963;56;30395583.67232143;29.06;56
Secretaria de Segurança Urbana;275530796.97;171771662.33;28006;803;56;4920192.803035715;4.7;56
Secretaria da Cidadania;134268631.67;89958310.22;18549;483;56;2397654.1369642853;2.29;56
Secretaria de Assuntos Jurídicos e Patrimônio;126977557.7;81615417.27;8939;293;56;2267456.3875;2.17;56
Secretaria de Administração;111789935.25;74372448.87;16227;585;56;1996248.84375;1.91;56
Secretaria da Fazenda;109752123.28;71805409.37;12832;304;56;1959859.3442857142;1.87;56
Secretaria de Planejamento e Desenvolvimento Urbano;78948241.51;52607270.45;10345;375;56;1794278.2161363638;1.35;44
Secretaria de Governo;76779939.69;52875842.28;7547;506;56;1371070.3516071427;1.31;56
Secretaria de Serviços Públicos e Obras;76637568.32;51066095.36;9931;275;56;1368528.0057142857;1.31;56
Secretaria de Gabinete Central;66273277.01;44201602.43;6712;329;56;1183451.3751785713;1.13;56
Secretaria do Meio Ambiente, Parques e Jardins;60778899.47;40848218.93;7788;334;56;1085337.4905357142;1.04;56
Secretaria de Recursos Humanos;60308422.97;40872155.58;8351;290;56;1076936.1244642858;1.03;56
Inativos e Pensionistas (Encargos);54438312.8;28013198.44;11288;297;56;1237234.3818181818;0.93;44
Secretaria de Esportes e Lazer;50182813.56;32119281.47;5873;206;56;896121.6707142858;0.86;56
Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;28853770.39;18150482.06;4247;251;56;515245.8998214286;0.49;56
Secretaria de Cultura;27859834.98;18684772.78;4631;205;56;497497.0532142857;0.48;56
Secretaria da Habitação e Regularização Fundiária;21471305.11;14813491.61;2633;93;56;383416.1626785714;0.37;56
Secretaria de Comunicação;19764352.81;14043943.45;2086;86;56;352934.87160714285;0.34;56
Secretaria de Mobilidade;19433905.54;12593492.88;2321;138;56;347034.02749999997;0.33;56
Secretaria de Urbanismo e Licenciamento;15620041.97;10018013.53;2463;228;56;1301670.1641666668;0.27;12
Chefia do Poder Executivo;13372068.18;7841827.92;2522;196;56;334301.7045;0.23;40
Secretaria de Relações do Trabalho e Qualificação Profissional;11842845.19;7772571.85;1770;113;56;370088.9121875;0.2;32
Secretaria de Parcerias;11078063.81;7767350.58;1191;79;56;583055.99;0.19;19
Secretaria de Relações Institucionais e Metropolitanas;9324854.25;6454554.56;793;44;56;166515.2544642857;0.16;56
Secretaria de Empreendedorismo da Micro e Pequena Empresa;4878843.7700000005;3261331.29;517;42;56;256781.25105263162;0.08;19
Secretaria da Mulher;3614991.77;2453925.54;229;20;56;190262.7247368421;0.06;19
Secretaria de Turismo;3105970.29;2200251.58;294;30;56;163472.1205263158;0.05;19
Secretaria de Inclusão e Transtorno do Espectro Autista;3056665.86;2184144.06;250;19;56;152833.293;0.05;20
