secretaria_canonica,escolaridade_canonica,n,folha_media,folha_mediana
Chefia do Poder Executivo,Medio completo,2,15275.01,15275.01
Chefia do Poder Executivo,Superior completo,4,20700.06,22917.33
Chefia do Poder Executivo,Pos-graduacao,1,10627.11,10627.11
Inativos e Pensionistas (Encargos),Sem escolaridade formal registrada,9,3857.46,3689.2
Inativos e Pensionistas (Encargos),Fundamental incompleto,43,4650.22,4666.17
Inativos e Pensionistas (Encargos),Fundamental completo,95,5946.11,4919.18
Inativos e Pensionistas (Encargos),Medio incompleto,2,3641.34,3641.34
Inativos e Pensionistas (Encargos),Medio completo,17,9125.3,7876.4
Inativos e Pensionistas (Encargos),Superior completo,11,11807.27,9218.96
Inativos e Pensionistas (Encargos),Pos-graduacao,2,3068.73,3068.73
Secretaria da Cidadania,Fundamental completo,1,4214.87,4214.87
Secretaria da Cidadania,Medio completo,57,5058.51,4449.86
Secretaria da Cidadania,Superior incompleto,8,3347.23,1786.89
Secretaria da Cidadania,Superior completo,196,10327.55,8694.92
Secretaria da Cidadania,Pos-graduacao,29,12821.71,11690.56
Secretaria da Cidadania,Mestrado,3,12887.22,11743.09
Secretaria da Cidadania,Doutorado,1,14384.33,14384.33
Secretaria da Educação,Sem escolaridade formal registrada,1,6095.56,6095.56
Secretaria da Educação,Fundamental incompleto,1,4859.65,4859.65
Secretaria da Educação,Fundamental completo,69,3924.42,3752.65
Secretaria da Educação,Medio incompleto,5,4802.81,4542.15
Secretaria da Educação,Medio completo,1436,4433.93,4111.03
Secretaria da Educação,Superior incompleto,566,1857.47,1084.8
Secretaria da Educação,Superior completo,4537,5938.47,4681.02
Secretaria da Educação,Pos-graduacao,1433,14240.88,13690.2
Secretaria da Educação,Mestrado,59,21574.92,18086.39
Secretaria da Educação,Doutorado,9,19960.77,18275.27
Secretaria da Fazenda,Fundamental completo,1,3803.64,3803.64
Secretaria da Fazenda,Medio completo,37,5455.35,4729.97
Secretaria da Fazenda,Superior incompleto,3,5364.81,6873.26
Secretaria da Fazenda,Superior completo,107,14606.68,12394.74
Secretaria da Fazenda,Pos-graduacao,16,19331.08,21706.52
Secretaria da Habitação e Regularização Fundiária,Medio completo,7,4673.2,4449.86
Secretaria da Habitação e Regularização Fundiária,Superior completo,27,12286.94,11910.93
Secretaria da Habitação e Regularização Fundiária,Pos-graduacao,2,25663.38,25663.38
Secretaria da Habitação e Regularização Fundiária,Mestrado,1,18732.58,18732.58
Secretaria da Mulher,Medio completo,1,17023.27,17023.27
Secretaria da Mulher,Superior completo,8,16215.53,15480.31
