secretaria_canonica,n,gini
Inativos e Pensionistas (Encargos),179,0.301
Secretaria da Cidadania,295,0.2884
Secretaria da Educação,8116,0.4675
Secretaria da Fazenda,164,0.3737
Secretaria da Saúde,2865,0.3747
Secretaria de Administração,149,0.3987
Secretaria de Assuntos Jurídicos e Patrimônio,126,0.5288
Secretaria de Cultura,72,0.4935
Secretaria de Esportes e Lazer,96,0.3672
Secretaria de Gabinete Central,156,0.432
Secretaria de Governo,123,0.404
Secretaria de Mobilidade,73,0.3865
Secretaria de Parcerias,55,0.3466
Secretaria de Planejamento e Desenvolvimento Urbano,183,0.3699
Secretaria de Recursos Humanos,129,0.3737
Secretaria de Segurança Urbana,576,0.2896
Secretaria de Serviços Públicos e Obras,141,0.3232
"Secretaria do Meio Ambiente, Parques e Jardins",128,0.3858
