secretaria_crua;secretaria_canonica;sigla;observacao
Secretaria da Cidadania;Secretaria da Cidadania;;Nome unico na base
Secretaria da Educacao;Secretaria da Educação;SEDUC;Nome unico na base
Secretaria da Fazenda;Secretaria da Fazenda;SEFAZ;Nome unico na base
Secretaria da Habit e Regular Fundiaria;Secretaria da Habitação e Regularização Fundiária;SEHAB;Nome unico na base
I-secretaria da Mulher;Secretaria da Mulher;;Prefixo I- = marcador interno do portal
Secretaria da Mulher;Secretaria da Mulher;;Prefixo I- = marcador interno do portal
Secretaria da Saude;Secretaria da Saúde;SES;Nome unico na base
Secretaria de Administracao;Secretaria de Administração;SEAD;Nome unico na base
Secretaria Juridica;Secretaria de Assuntos Jurídicos e Patrimônio;SEJUR;Unificada com variante de nome reduzido
Secretaria dos Assuntos Juridic e Patrim;Secretaria de Assuntos Jurídicos e Patrimônio;SEJUR;Unificada com variante de nome reduzido
Secretaria de Comunicacao;Secretaria de Comunicação;SECOM;Nome unico na base
Secretaria de Cultura;Secretaria de Cultura;SECULT;Nome unico na base
I-secretaria de Desenv Econ Trab e Turi;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;SEDETT;Prefixo I- = marcador interno do portal
I-secretaria de Desenv. Economico;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;SEDETT;Prefixo I- = marcador interno do portal
Secretaria de Desenv Econ Trab e Turismo;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;SEDETT;Unificada
Secretaria de Desenv Economico e Turismo;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;SEDETT;Unificada
Secretaria de Desenv. Economico;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;SEDETT;Unificada
I-secr. de Empreend da Micro e de Pq Po;Secretaria de Empreendedorismo da Micro e Pequena Empresa;SEMPE;Prefixo I- = marcador interno do portal
Secr. de Empreend da Micro e de Pq Porte;Secretaria de Empreendedorismo da Micro e Pequena Empresa;SEMPE;Unificada
Secretaria de Esporte e Qualid de Vida;Secretaria de Esportes e Lazer;SEL;Unificada com nome reduzido
Secretaria de Esportes e Lazer;Secretaria de Esportes e Lazer;SEL;Unificada com nome reduzido
Secretaria de Gabinete Central;Secretaria de Gabinete Central;SGC;Nome unico na base
I-secretaria de Governo;Secretaria de Governo;SEGOV;Prefixo I- = marcador interno do portal
Secretaria de Governo;Secretaria de Governo;SEGOV;Prefixo I- = marcador interno do portal
I-secr. Incl e Transt do Espectro Autis;Secretaria de Inclusão e Transtorno do Espectro Autista;SEITEA;Prefixo I- = marcador interno do portal
Secr. Incl e Transt do Espectro Autista;Secretaria de Inclusão e Transtorno do Espectro Autista;SEITEA;Unificada
Secretaria de Mobilidade;Secretaria de Mobilidade;SEMOB;Nome unico na base
I-secretaria de Parcerias;Secretaria de Parcerias;SEPARC;Prefixo I- = marcador interno do portal
Secretaria de Parcerias;Secretaria de Parcerias;SEPARC;Prefixo I- = marcador interno do portal
I-secretaria de Planej e Desenv Urbano;Secretaria de Planejamento e Desenvolvimento Urbano;SEPLAN;Prefixo I- = marcador interno do portal
Secretaria de Planej e Desenv Urbano;Secretaria de Planejamento e Desenvolvimento Urbano;SEPLAN;Prefixo I- = marcador interno do portal
I-secretaria de Planejamento;Secretaria de Planejamento e Desenvolvimento Urbano;SEPLAN;Residuo historico
Secretaria de Recursos Humanos;Secretaria de Recursos Humanos;SERH;Nome unico na base
Secr. de Relacoes Inst. e Metropolitanas;Secretaria de Relações Institucionais e Metropolitanas;SERIM;Unificada com nome reduzido
Secretaria de Relacoes Instit e Metropol;Secretaria de Relações Institucionais e Metropolitanas;SERIM;Unificada com nome reduzido
I-secretaria de Relac do Trab e Qualif;Secretaria de Relações do Trabalho e Qualificação Profissional;SERTQ;Prefixo I- = marcador interno do portal
Secretaria de Relac do Trab e Qualif Pro;Secretaria de Relações do Trabalho e Qualificação Profissional;SERTQ;Unificada
Secretaria de Seguranca Urbana;Secretaria de Segurança Urbana;SESU;Nome unico na base
Secretaria de Servicos Publicos e Obras;Secretaria de Serviços Públicos e Obras;SERPO;Nome unico na base
I-secretaria do Turismo;Secretaria de Turismo;SETUR;Prefixo I- = marcador interno do portal
Secretaria do Turismo;Secretaria de Turismo;SETUR;Prefixo I- = marcador interno do portal
Secretaria de Urbanismo e Licenciamento;Secretaria de Urbanismo e Licenciamento;SEURB;Nome unico na base
Secretaria do M Amb Prot Bem-est Animal;Secretaria do Meio Ambiente, Parques e Jardins;SEMA;Unificada com nome reduzido
Secretaria do Meio Ambiente. Parq e Jard;Secretaria do Meio Ambiente, Parques e Jardins;SEMA;Unificada com nome reduzido
Chefia do Poder Executivo;Chefia do Poder Executivo;GAB;Nao e secretaria operacional; unidade do gabinete
Aposentados;Inativos e Pensionistas (Encargos);INAT;Nao e secretaria; agrupamento contabil
Pensionistas;Inativos e Pensionistas (Encargos);INAT;Nao e secretaria; agrupamento contabil
