secretaria_canonica,n,media,p10,p25,p50,p75,p90,p99
Inativos e Pensionistas (Encargos),179,6134.01,3089.25,3762.98,4879.19,6422.45,10216.99,20309.38
Secretaria da Cidadania,295,9384.42,4381.26,6019.67,8339.61,11674.58,15480.31,31241.35
Secretaria da Educação,8116,6964.86,932.0,1975.84,4791.61,10899.13,14964.32,25838.87
Secretaria da Fazenda,164,12768.04,4449.86,5348.48,10039.28,18203.0,24009.79,34160.11
Secretaria da Habitação e Regularização Fundiária,37,11743.76,4449.86,5945.78,11807.57,14092.07,18732.58,24841.37
Secretaria da Saúde,2865,11144.91,4489.06,5545.07,7944.16,13896.1,21929.07,43795.23
Secretaria de Administração,149,9392.12,1084.8,4711.38,7123.76,12178.18,15972.46,45444.19
Secretaria de Assuntos Jurídicos e Patrimônio,126,18247.87,1084.8,4614.97,10437.59,29828.88,46291.62,76228.36
Secretaria de Comunicação,31,10940.98,1084.8,5743.46,12261.82,15480.31,17988.25,20031.31
Secretaria de Cultura,72,7292.56,1084.8,1084.8,5013.68,9501.09,15480.31,23945.92
Secretaria de Esportes e Lazer,96,9551.1,1084.8,4856.15,7568.79,12668.73,18384.57,25273.41
Secretaria de Gabinete Central,156,9956.2,1084.8,4167.35,8129.64,12946.89,19846.3,37504.82
Secretaria de Governo,123,12422.22,1084.8,4638.59,12100.38,15963.28,22497.08,43441.64
Secretaria de Mobilidade,73,8134.96,1084.8,4449.86,5734.34,12211.99,15480.31,22082.93
Secretaria de Parcerias,55,10137.32,1084.8,6143.7,9457.52,14165.75,16740.72,24418.87
Secretaria de Planejamento e Desenvolvimento Urbano,183,9396.02,1084.8,5517.65,7717.44,12685.37,16514.02,32330.33
Secretaria de Recursos Humanos,129,10132.91,3195.31,5242.68,8546.0,13166.36,17150.37,25801.16
Secretaria de Relações do Trabalho e Qualificação Profissional,37,8512.96,1084.8,1084.8,4638.58,13994.44,20705.34,24631.28
Secretaria de Segurança Urbana,576,9865.12,6077.84,6553.81,7207.85,13429.88,16865.96,29209.22
Secretaria de Serviços Públicos e Obras,141,9580.54,4147.14,4736.06,8227.36,12901.14,16589.81,26046.94
"Secretaria do Meio Ambiente, Parques e Jardins",128,10199.04,1084.8,4987.75,8738.42,14332.72,17344.98,30591.86
