secretaria_canonica,faixa_tempo,n,folha_media,folha_mediana
Chefia do Poder Executivo,0-5 anos,2,20260.58,20260.58
Chefia do Poder Executivo,11-15 anos,1,10627.11,10627.11
Chefia do Poder Executivo,21-25 anos,2,18482.78,18482.78
Chefia do Poder Executivo,30+ anos,2,17931.76,17931.76
Inativos e Pensionistas (Encargos),0-5 anos,1,3745.37,3745.37
Inativos e Pensionistas (Encargos),6-10 anos,17,5800.71,5101.91
Inativos e Pensionistas (Encargos),11-15 anos,17,5934.42,5768.64
Inativos e Pensionistas (Encargos),16-20 anos,20,5549.95,4684.4
Inativos e Pensionistas (Encargos),21-25 anos,12,5670.21,4861.96
Inativos e Pensionistas (Encargos),26-30 anos,19,5717.93,4745.33
Inativos e Pensionistas (Encargos),30+ anos,90,6465.57,4819.49
Secretaria da Cidadania,0-5 anos,123,7708.85,7150.18
Secretaria da Cidadania,6-10 anos,35,8037.67,8557.31
Secretaria da Cidadania,11-15 anos,95,9520.94,9660.48
Secretaria da Cidadania,16-20 anos,32,13214.91,12224.24
Secretaria da Cidadania,21-25 anos,1,19530.26,19530.26
Secretaria da Cidadania,30+ anos,8,23864.44,20829.1
Secretaria da Educação,0-5 anos,3272,4524.0,3858.38
Secretaria da Educação,6-10 anos,1448,6593.8,5509.59
Secretaria da Educação,11-15 anos,1858,8365.06,5931.56
Secretaria da Educação,16-20 anos,958,11129.26,10888.64
Secretaria da Educação,21-25 anos,474,10991.72,7801.74
Secretaria da Educação,26-30 anos,47,8795.76,2050.4
Secretaria da Educação,30+ anos,24,13248.7,8062.27
Secretaria da Fazenda,0-5 anos,26,7274.69,5104.15
Secretaria da Fazenda,6-10 anos,33,9009.85,6068.02
Secretaria da Fazenda,11-15 anos,36,11578.81,8247.75
Secretaria da Fazenda,16-20 anos,62,17154.29,16066.6
Secretaria da Fazenda,21-25 anos,1,6449.79,6449.79
Secretaria da Fazenda,30+ anos,6,20106.35,17965.07
