tipo,local_canonico,sigla_secretaria,secretaria,efetivo,folha_total,folha_media,ticket_medio
CAPS,CAPS Ad III,SES,Secretaria da Saúde,42,434442.16,10343.86,10343.86
CMAE,CMAE,SES,Secretaria da Saúde,47,615676.31,13099.5,13099.5
Categoria,Prof. Eventuais,SEDUC,Secretaria da Educação,2270,3036582.75,1337.7,1337.7
Categoria,Estágios — Formação Cidadã,,,262,273651.84,1044.47,1044.47
Categoria,Aposentados e Pensionistas (AAPMS),,,154,976753.2,6342.55,6342.55
Categoria,Estagios - Sgc Ti,,,31,33665.52,1085.98,1085.98
Categoria,Estagios - Sesu,,,26,27345.04,1051.73,1051.73
Categoria,Estagios - Seplan - Arquitetur,,,26,28412.72,1092.8,1092.8
Categoria,Aposent-pens — Dap,,,25,121234.2,4849.37,4849.37
Categoria,Estagios - Secult,,,20,20833.52,1041.68,1041.68
Categoria,Estagios - Ses Gabinete,,,17,19369.2,1139.36,1139.36
Categoria,Estagios - Segov-procon,,,15,15291.68,1019.45,1019.45
Categoria,Estagios - Ses Zoonoses,,,13,13372.24,1028.63,1028.63
Categoria,Estagios - Serh,,,11,11680.24,1061.84,1061.84
Categoria,Estagios - Semob,,,11,11842.64,1076.6,1076.6
Categoria,Estagios - Separ,,,11,11834.24,1075.84,1075.84
Categoria,Estagios - Sequav,,,10,11438.64,1143.86,1143.86
Categoria,Estagios - Sej,,,8,9392.32,1174.04,1174.04
Categoria,Estagios - Sead,,,7,7593.6,1084.8,1084.8
Categoria,Estagios - Ses Policlinica,,,7,7593.6,1084.8,1084.8
Categoria,Estagios - Ouvidoria,,,7,6099.6,871.37,871.37
Categoria,Estagios - Sej Dpu,,,7,7550.48,1078.64,1078.64
Categoria,Estagios- Sead DIV Arq Pub Mun,,,7,7593.6,1084.8,1084.8
Categoria,Estagios - Secom,,,5,5362.4,1072.48,1072.48
Categoria,Estagios - Secid,,,5,5244.0,1048.8,1048.8
Categoria,Estagios - Ses DIV Vig Epidem,,,4,3494.4,873.6,873.6
Categoria,Estagios - Semepp,,,4,3941.44,985.36,985.36
