local_trabalho,tipo,efetivo,folha_total,ticket_medio
Sedu - Cei 89 (zilda P Aguil),Escola,78,60547790.0,776253.72
Sedu - Cei 78 (ettore Marang),Escola,68,45117425.0,663491.54
Sedu - em Ary de o Seabra,Escola,64,65862870.0,1029107.34
Sedu - em Renice Seraphim,Escola,64,55472859.0,866763.42
Sedu - Cei 90 (helio D C Jr),Escola,62,35186433.0,567523.11
Sedu - Cei 109 (benedicto Pagl,Escola,59,40699590.0,689823.56
Sedu - em Tereza C Gianini,Escola,59,60981490.0,1033584.58
Sedu - em Ines R Cesarotti,Escola,58,55283628.0,953166.0
Sedu - em Achilles Almeida,Escola,57,66929460.0,1174201.05
Sedu - Cei 107 (arminda da Con,Escola,57,31720210.0,556494.91
Sedu - em Norma Justa D Ara,Escola,57,55524877.0,974120.65
Sedu - Cei 72 (sueli Gaz Camp),Escola,57,32591975.0,571789.04
Ses - Ubs Wanel Ville,UBS,56,50621634.0,903957.75
Ses - Ubs Aparecidinha,UBS,56,43590165.0,778395.8
Sedu - Cei 82 (bened M Didi),Escola,56,34871458.0,622704.61
Sedu - Cei 73 (matilde Gavin),Escola,55,31335471.0,569735.84
Ses - Ubs Ulysses Guimaraes,UBS,55,39203591.0,712792.56
Ses - Ubs Rodrigo,UBS,54,47990805.0,888718.61
Sedu - Cei 94 (ana L Pazini),Escola,54,29322356.0,543006.59
Ses - Ubs Marcia Mendes,UBS,53,47902667.0,903823.91
